Organization,Measure,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
Mayo Regional Hospital,Total Operating Expenses,41131836,44167417,45095779,45776062,47576672
Mayo Regional Hospital,Depreciation and Amortization,1918023,2107761,2254760,2192123,1959117
Mayo Regional Hospital,Interest,245576,228698,202171,180047,164776
Mayo Regional Hospital,Advertising Expenses,117838,113194,128352,147193,
Mayo Regional Hospital,Allowed Advertising Expenses,,,,,
Mayo Regional Hospital,Non-Allowed Advertising Expenses,117838,113194,128352,147193,
Mayo Regional Hospital,Salaries and Benefits,26978460,28899638,30197206,30044718,31162810
Mayo Regional Hospital,Other Operating Expenses,11871939,12818126,12313290,13211981,14289969
Mayo Regional Hospital,Net Operating Income,103406,506307,-1055354,-1916577,-876655
Mayo Regional Hospital,Total Non-operating Revenue,461793,-55490,1471074,1087049,1296688
Mayo Regional Hospital,Total Investment Income,425028,-130064,1426303,1050202,1230675
Mayo Regional Hospital,Interest and Dividends,496995,273740,282545,298568,284116
Mayo Regional Hospital,Realized Gains/Losses on Sales of Securities,-71967,-403804,1143758,751634,946559
Mayo Regional Hospital,Permanently Impaired Security Writedowns,,,,,
Mayo Regional Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Mayo Regional Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Mayo Regional Hospital,Other Non-Operating Revenues,,,,36765,74574
Mayo Regional Hospital,Excess of Revenue over Expenses,565199,450817,415720,-829528,420033
Mayo Regional Hospital,Extraordinary Gains/Losses,,,,,
Mayo Regional Hospital,Total Surplus/Deficit,565199,450817,415720,-829528,420033
Mayo Regional Hospital,Total Change in Unrestricted Net Assets,594926,426088,450235,-784620,453485
Mayo Regional Hospital,Net Assets Released for Restrictions,,,,,
Mayo Regional Hospital,Unrealized Gains/Losses on Investments,29727,-24729,34515,44908,33452
Mayo Regional Hospital,Minimum Pension Liability Adjustment,,,,,
Mayo Regional Hospital,Transfers From/To Affiliates,,,,,
Mayo Regional Hospital,Mergers,,,,,
Mayo Regional Hospital,Consolidations with Support,,,,,
Mayo Regional Hospital,Other Changes,,,,,
Mercy Hospital,Total Current Assets,48467000,61085000,63781000,52556000,55362539
Mercy Hospital,Cash and Investment,-3455000,-2237000,-2840000,4548000,10742480
Mercy Hospital,Current Assets Whose Use is Limited,1016000,1991000,1383000,810000,21728
Mercy Hospital,Net Patient Accounts Receivable,25220000,29730000,29890000,33459000,34920923
Mercy Hospital,Due from Affiliates,,,,,43756
Mercy Hospital,Third Party Settlements Receivable,16370000,22162000,25207000,2661000,88867
Mercy Hospital,Other Accounts Receivable,2608000,3673000,4122000,4385000,2202777
Mercy Hospital,Inventory,4283000,4672000,4995000,5166000,4416925
Mercy Hospital,Other Current Assets,2425000,1094000,1024000,1527000,2925083
Mercy Hospital,Total Non-Current Assets,151123000,131614000,124383000,122449000,132847927
Mercy Hospital,Trustee Held Investments,,,656000,715000,3095845
Mercy Hospital,Board Designated and Undesignated Investments,27613000,20133000,13529000,15475000,
Mercy Hospital,Due From Affiliates,,,,,
Mercy Hospital,Investments in Affiliates,,,,,
Mercy Hospital,Other Non-current Assets,16437000,7206000,9618000,10678000,7412407
Mercy Hospital,"Gross Property, Plant and Equipment",,189912000,193006000,194161000,195232000
Mercy Hospital,Accumulated Depreciation,82839000,88731000,93581000,99651000,9545278
Mercy Hospital,"Net Property, Plant and Equipment",,107073000,104275000,100580000,95581000
Mercy Hospital,Total Unrestricted Assets,199590000,192699000,188164000,175005000,188210466
Mercy Hospital,Total Current Liabilities,43396000,45273000,49734000,42129000,46881396
Mercy Hospital,Current Long Term Debt,,7825000,13610000,13477000,8424000
Mercy Hospital,Accounts Payable and Accrued Expenses,24439000,19750000,25607000,19283000,29782335
Mercy Hospital,Estimated Third Party Settlements,4124000,4448000,3296000,4749000,3992554
Mercy Hospital,Due to Affiliates,,,,,10428672
Mercy Hospital,Other Current Liabilities,7008000,7465000,7354000,9673000,
Mercy Hospital,Total Non-current Liabilities,72023000,80551000,81676000,82756000,83429852
Mercy Hospital,Long Term Debt,66424000,65591000,63777000,66500000,66291060
Mercy Hospital,Estimated Third Party Settlements,,,,,351000
Mercy Hospital,Due to Affiliates,,,,,
Mercy Hospital,Self Insurance Fund,,,,,5188247
Mercy Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,2957279
Mercy Hospital,Other Non-Current Liabilities,5599000,14960000,17899000,16256000,8642266
Mercy Hospital,Fund Balance Unrestricted,84171000,66875000,56754000,50120000,57899218
Mercy Hospital,Total Liabilities & Equity,199590000,192699000,188164000,175005000,188210466
Mercy Hospital,Total Restricted Assets,2133000,2014000,4303000,3493000,3883361
Mercy Hospital,Cash and Investments,1884000,1778000,4080000,3284000,3883361
Mercy Hospital,Receivables,,,,,
Mercy Hospital,Other Assets,249000,236000,223000,209000,
Mercy Hospital,Total Restricted Liabilities and Equity,2133000,2014000,4303000,3493000,3883361
Mercy Hospital,Total Restricted Fund Balance,2133000,2014000,4303000,3493000,3883361
Mercy Hospital,Total Liabilities,,,,,
Mercy Hospital,Temporarily Restricted Net Assets,1081000,972000,2525000,1657000,1993819
Mercy Hospital,Permanently Restricted Net Assets,1052000,1042000,1778000,1836000,1889542
Mercy Hospital,Total Gross Patient Service Revenue,,346763000,380437000,393690000,429298000
Mercy Hospital,Gross Inpatient Service Revenue,121592000,124790000,122039000,136994000,149860872
Mercy Hospital,Gross Outpatient Service Revenue,225171000,255647000,271651000,292304000,346610416
Mercy Hospital,Free Care,,,10551000,12715000,12796000
Mercy Hospital,Bad Debt,,,,,13788000
Mercy Hospital,Contractuals,145698000,163935000,175176000,201925000,247906900
Mercy Hospital,Changes in Prior Year Estimated/Final Settlements,4740000,5548000,-3067000,-2553000,
Mercy Hospital,Net Patient Service Revenue,171986000,186189000,196372000,200776000,217827302
Mercy Hospital,Other Operating Revenue,3141000,3603000,5659000,5948000,5829166
Mercy Hospital,Total Operating Revenue,175127000,189792000,202031000,206724000,223656468
Mercy Hospital,Total Operating Expenses,191235000,207000000,216661000,216213000,221074575
Mercy Hospital,Depreciation and Amortization,10840000,10763000,10603000,11007000,9588694
Mercy Hospital,Interest,2299000,3176000,2326000,2205000,1476232
Mercy Hospital,Advertising Expenses,1063000,899000,544000,310000,434602
Mercy Hospital,Allowed Advertising Expenses,30000,25000,10000,4000,17513
Mercy Hospital,Non-Allowed Advertising Expenses,1033000,874000,534000,306000,417089
Mercy Hospital,Salaries and Benefits,103630000,111086000,118086000,118917000,124925043
Mercy Hospital,Other Operating Expenses,73403000,81076000,85102000,83774000,84650004
Mercy Hospital,Net Operating Income,-16108000,-17208000,-14630000,-9489000,2581893
Mercy Hospital,Total Non-operating Revenue,592000,-1094000,2928000,206000,57982548
Mercy Hospital,Total Investment Income,498000,481000,126000,822000,
Mercy Hospital,Interest and Dividends,128000,13000,-153000,-246000,
Mercy Hospital,Realized Gains/Losses on Sales of Securities,370000,468000,279000,1068000,
Mercy Hospital,Permanently Impaired Security Writedowns,,,,,
Mercy Hospital,Gains/Losses on Joint Ventures/Equity Investments,293000,37000,-146000,463000,-1350682
Mercy Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Mercy Hospital,Other Non-Operating Revenues,,,,-199000,-1612000
Mercy Hospital,Excess of Revenue over Expenses,-15516000,-18302000,-11702000,-9283000,60564441
Mercy Hospital,Extraordinary Gains/Losses,-330000,-97000,-75000,,
Mercy Hospital,Total Surplus/Deficit,-15846000,-18399000,-11777000,-9283000,60564441
Mercy Hospital,Total Change in Unrestricted Net Assets,-15512000,-17295000,-10121000,-7002000,57899218
Mercy Hospital,Net Assets Released for Restrictions,,,246000,458000,1523000
Mercy Hospital,Unrealized Gains/Losses on Investments,,,,,
Mercy Hospital,Minimum Pension Liability Adjustment,,,,,
Mercy Hospital,Transfers From/To Affiliates,88000,646000,133000,,-2691954
Mercy Hospital,Mergers,,,,,
Mercy Hospital,Consolidations with Support,,,,,
Mercy Hospital,Other Changes,,,,,
Mid Coast Hospital,Total Current Assets,24865971,28978648,22644768,29104358,32865535
Mid Coast Hospital,Cash and Investment,8893291,6529640,4379841,6434167,6036991
Mid Coast Hospital,Current Assets Whose Use is Limited,717159,709282,709297,710072,711479
Mid Coast Hospital,Net Patient Accounts Receivable,8424478,8689651,11940926,16023706,19358376
Mid Coast Hospital,Due from Affiliates,811665,1046083,1131165,1197119,1366229
Mid Coast Hospital,Third Party Settlements Receivable,1923831,6006201,,,
Mid Coast Hospital,Other Accounts Receivable,,,,,
Mid Coast Hospital,Inventory,2060130,2116406,2026841,2149927,2275489
Mid Coast Hospital,Other Current Assets,2035417,3881385,2456698,2589367,3116971
Mid Coast Hospital,Total Non-Current Assets,95356205,96712969,108972458,113892379,118109881
Mid Coast Hospital,Trustee Held Investments,,,,,
Mid Coast Hospital,Board Designated and Undesignated Investments,28087240,30805234,33348647,49198567,51763753
Mid Coast Hospital,Due From Affiliates,2326768,2102290,2541312,2094711,2213490
Mid Coast Hospital,Investments in Affiliates,,,,,
Mid Coast Hospital,Other Non-current Assets,5261311,5701856,16821748,8225853,9771551
Mid Coast Hospital,"Gross Property, Plant and Equipment",,99870231,103668562,106335873,108395671
Mid Coast Hospital,Accumulated Depreciation,40189345,45564973,50075122,54022423,58607948
Mid Coast Hospital,"Net Property, Plant and Equipment",,59680886,58103589,56260751,54373248
Mid Coast Hospital,Total Unrestricted Assets,120222176,125691617,131617226,142996737,150975416
Mid Coast Hospital,Total Current Liabilities,12917869,12205536,12343124,17314716,17597864
Mid Coast Hospital,Current Long Term Debt,,1030000,1075000,1120000,1342986
Mid Coast Hospital,Accounts Payable and Accrued Expenses,11887869,11130536,11223124,10564579,11654523
Mid Coast Hospital,Estimated Third Party Settlements,,,,5407151,4540222
Mid Coast Hospital,Due to Affiliates,,,,,
Mid Coast Hospital,Other Current Liabilities,,,,,
Mid Coast Hospital,Total Non-current Liabilities,37267625,36590603,38303517,39105954,39302637
Mid Coast Hospital,Long Term Debt,32890115,31802247,30669380,30117214,28701227
Mid Coast Hospital,Estimated Third Party Settlements,,,,,
Mid Coast Hospital,Due to Affiliates,,,,,
Mid Coast Hospital,Self Insurance Fund,,,,,
Mid Coast Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Mid Coast Hospital,Other Non-Current Liabilities,4377510,4788356,7634137,8988740,10601410
Mid Coast Hospital,Fund Balance Unrestricted,70036682,76895478,80970585,86576067,94074915
Mid Coast Hospital,Total Liabilities & Equity,120222176,125691617,131617226,142996737,150975416
Mid Coast Hospital,Total Restricted Assets,14476355,13989585,16171635,17739375,18948589
Mid Coast Hospital,Cash and Investments,14476355,13989585,16171635,17739375,18948589
Mid Coast Hospital,Receivables,,,,,
Mid Coast Hospital,Other Assets,,,,,
Mid Coast Hospital,Total Restricted Liabilities and Equity,14476355,13989585,16171635,17739375,18948589
Mid Coast Hospital,Total Restricted Fund Balance,14476355,13989585,16171635,17739375,18948589
Mid Coast Hospital,Total Liabilities,,,,,
Mid Coast Hospital,Temporarily Restricted Net Assets,7036575,6460695,8569246,9960251,10910349
Mid Coast Hospital,Permanently Restricted Net Assets,7439780,7528890,7602389,7779124,8038240
Mid Coast Hospital,Total Gross Patient Service Revenue,,194679667,207682820,223641932,239103885
Mid Coast Hospital,Gross Inpatient Service Revenue,68355692,70786879,70684550,71974220,74722406
Mid Coast Hospital,Gross Outpatient Service Revenue,126323975,136895941,152957382,167129665,191330389
Mid Coast Hospital,Free Care,,,2836544,3249897,3793009
Mid Coast Hospital,Bad Debt,,,,,4892662
Mid Coast Hospital,Contractuals,86052211,91917744,101174800,106166951,122003101
Mid Coast Hospital,Changes in Prior Year Estimated/Final Settlements,-585000,-3442000,-1630000,-18000,-500000
Mid Coast Hospital,Net Patient Service Revenue,101483250,110815320,115068754,121022725,131114701
Mid Coast Hospital,Other Operating Revenue,3429972,3560023,3845313,4924322,5117415
Mid Coast Hospital,Total Operating Revenue,104913222,114375343,118914067,125947047,136232116
Mid Coast Hospital,Total Operating Expenses,102627166,109350028,117860539,124209345,132768542
Mid Coast Hospital,Depreciation and Amortization,5687810,5837906,5605267,5359816,5552628
Mid Coast Hospital,Interest,1754720,1740332,1737924,1706926,1665919
Mid Coast Hospital,Advertising Expenses,360575,295560,362011,451651,301526
Mid Coast Hospital,Allowed Advertising Expenses,,,,,
Mid Coast Hospital,Non-Allowed Advertising Expenses,360575,295560,362011,451651,301526
Mid Coast Hospital,Salaries and Benefits,56030771,59523676,66643916,70398524,78182007
Mid Coast Hospital,Other Operating Expenses,38793290,41952554,43511421,46292428,47066462
Mid Coast Hospital,Net Operating Income,2286056,5025315,1053528,1737702,3463574
Mid Coast Hospital,Total Non-operating Revenue,872840,1396810,975311,1828559,1831235
Mid Coast Hospital,Total Investment Income,787194,1337123,926242,1661224,1694972
Mid Coast Hospital,Interest and Dividends,934857,1073129,941599,1087475,1689156
Mid Coast Hospital,Realized Gains/Losses on Sales of Securities,-147663,263994,-15357,573749,5816
Mid Coast Hospital,Permanently Impaired Security Writedowns,,,,,
Mid Coast Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Mid Coast Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Mid Coast Hospital,Other Non-Operating Revenues,,,,85646,59687
Mid Coast Hospital,Excess of Revenue over Expenses,3158896,6422125,2028839,3566261,5294809
Mid Coast Hospital,Extraordinary Gains/Losses,-223810,1308842,922199,1880781,1053985
Mid Coast Hospital,Total Surplus/Deficit,2935086,7730967,2951038,5447042,6348794
Mid Coast Hospital,Total Change in Unrestricted Net Assets,3587127,6858796,4075107,5605482,7498848
Mid Coast Hospital,Net Assets Released for Restrictions,,,191572,139973,50000
Mid Coast Hospital,Unrealized Gains/Losses on Investments,1008469,-444474,1891671,139295,1087270
Mid Coast Hospital,Minimum Pension Liability Adjustment,,,,,
Mid Coast Hospital,Transfers From/To Affiliates,-573000,-640000,-835000,-10855,
Mid Coast Hospital,Mergers,,,,,
Mid Coast Hospital,Consolidations with Support,,,,,
Mid Coast Hospital,Other Changes,25000,72330,17398,,
Miles Memorial Hospital,Total Current Assets,15801912,18192525,14583694,20898016,
Miles Memorial Hospital,Cash and Investment,4885572,1209555,1364349,2134826,
Miles Memorial Hospital,Current Assets Whose Use is Limited,136678,,129156,130157,
Miles Memorial Hospital,Net Patient Accounts Receivable,6378118,8843206,6371900,7880424,
Miles Memorial Hospital,Due from Affiliates,3046361,6254339,4200307,8813286,
Miles Memorial Hospital,Third Party Settlements Receivable,,309299,844462,,
Miles Memorial Hospital,Other Accounts Receivable,,,,,
Miles Memorial Hospital,Inventory,1043113,1241345,1365086,1548637,
Miles Memorial Hospital,Other Current Assets,312070,334781,308434,390686,
Miles Memorial Hospital,Total Non-Current Assets,22954771,24625736,26246929,22230513,
Miles Memorial Hospital,Trustee Held Investments,,,,,
Miles Memorial Hospital,Board Designated and Undesignated Investments,2734825,2431493,3273829,3780574,
Miles Memorial Hospital,Due From Affiliates,,,,,
Miles Memorial Hospital,Investments in Affiliates,1275000,1275000,1275000,1275000,
Miles Memorial Hospital,Other Non-current Assets,941002,3312593,4894838,713898,
Miles Memorial Hospital,"Gross Property, Plant and Equipment",,45194813,46466643,42522942,43036387
Miles Memorial Hospital,Accumulated Depreciation,27190869,28859993,25719680,26575346,
Miles Memorial Hospital,"Net Property, Plant and Equipment",,18003944,17606650,16803262,16461041
Miles Memorial Hospital,Total Unrestricted Assets,38756683,42818261,40830623,43128529,
Miles Memorial Hospital,Total Current Liabilities,6790065,6100733,6046403,8993690,
Miles Memorial Hospital,Current Long Term Debt,,351715,468169,399087,335905
Miles Memorial Hospital,Accounts Payable and Accrued Expenses,2225115,1897959,2131220,1457231,
Miles Memorial Hospital,Estimated Third Party Settlements,374007,,,1539000,
Miles Memorial Hospital,Due to Affiliates,3839130,3734605,3516096,5583237,
Miles Memorial Hospital,Other Current Liabilities,98,,,78317,
Miles Memorial Hospital,Total Non-current Liabilities,5609384,5176045,4804616,4231720,
Miles Memorial Hospital,Long Term Debt,5325719,4901480,4534511,4001095,
Miles Memorial Hospital,Estimated Third Party Settlements,,,,,
Miles Memorial Hospital,Due to Affiliates,,,,,
Miles Memorial Hospital,Self Insurance Fund,,,,,
Miles Memorial Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Miles Memorial Hospital,Other Non-Current Liabilities,283665,274565,270105,230625,
Miles Memorial Hospital,Fund Balance Unrestricted,26357234,31541483,29979604,29903119,
Miles Memorial Hospital,Total Liabilities & Equity,38756683,42818261,40830623,43128529,
Miles Memorial Hospital,Total Restricted Assets,4044556,4139715,4565677,4656745,
Miles Memorial Hospital,Cash and Investments,4040714,4121752,4560609,4652297,
Miles Memorial Hospital,Receivables,3842,17963,5068,4448,
Miles Memorial Hospital,Other Assets,,,,,
Miles Memorial Hospital,Total Restricted Liabilities and Equity,4044556,4139716,4565677,4656745,
Miles Memorial Hospital,Total Restricted Fund Balance,4044556,4139716,4565677,4656745,
Miles Memorial Hospital,Total Liabilities,,,,,
Miles Memorial Hospital,Temporarily Restricted Net Assets,49338,224293,263246,352766,
Miles Memorial Hospital,Permanently Restricted Net Assets,3995218,3915423,4302431,4303979,
Miles Memorial Hospital,Total Gross Patient Service Revenue,,96545680,105597332,105496296,104182130
Miles Memorial Hospital,Gross Inpatient Service Revenue,34662753,35346468,34979388,35975233,
Miles Memorial Hospital,Gross Outpatient Service Revenue,61882927,70250864,70516908,68206897,
Miles Memorial Hospital,Free Care,,,3443087,2685191,3236843
Miles Memorial Hospital,Bad Debt,,,,,2161820
Miles Memorial Hospital,Contractuals,40704179,44409747,44487403,44617584,
Miles Memorial Hospital,Changes in Prior Year Estimated/Final Settlements,,-220000,,,
Miles Memorial Hospital,Net Patient Service Revenue,50236594,55101355,54975514,52970258,
Miles Memorial Hospital,Other Operating Revenue,508593,504412,1719781,2553628,
Miles Memorial Hospital,Total Operating Revenue,50745187,55605767,56695295,55523886,
Miles Memorial Hospital,Total Operating Expenses,49947960,53219827,54860416,53360904,
Miles Memorial Hospital,Depreciation and Amortization,1949730,1772835,1746503,1656448,
Miles Memorial Hospital,Interest,308405,262785,230161,209522,
Miles Memorial Hospital,Advertising Expenses,26379,36578,25447,24201,
Miles Memorial Hospital,Allowed Advertising Expenses,11108,25345,17425,18799,
Miles Memorial Hospital,Non-Allowed Advertising Expenses,15271,11233,8022,5402,
Miles Memorial Hospital,Salaries and Benefits,17713784,18763729,18938586,18905259,
Miles Memorial Hospital,Other Operating Expenses,29949662,32383900,33919719,32565474,
Miles Memorial Hospital,Net Operating Income,797227,2385940,1834879,2162982,
Miles Memorial Hospital,Total Non-operating Revenue,462871,411194,622194,637815,
Miles Memorial Hospital,Total Investment Income,264337,339951,180736,437356,
Miles Memorial Hospital,Interest and Dividends,67419,91267,109018,120880,
Miles Memorial Hospital,Realized Gains/Losses on Sales of Securities,196918,248684,71718,316476,
Miles Memorial Hospital,Permanently Impaired Security Writedowns,,,,,
Miles Memorial Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Miles Memorial Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Miles Memorial Hospital,Other Non-Operating Revenues,,,,198534,71243
Miles Memorial Hospital,Excess of Revenue over Expenses,1260098,2797134,2457073,2800797,
Miles Memorial Hospital,Extraordinary Gains/Losses,,,,,
Miles Memorial Hospital,Total Surplus/Deficit,1260098,2797134,2457073,2800797,
Miles Memorial Hospital,Total Change in Unrestricted Net Assets,9770123,5184249,-1562389,-75975,
Miles Memorial Hospital,Net Assets Released for Restrictions,,,241804,69414,122429
Miles Memorial Hospital,Unrealized Gains/Losses on Investments,77938,-585842,468046,59023,
Miles Memorial Hospital,Minimum Pension Liability Adjustment,,,,,
Miles Memorial Hospital,Transfers From/To Affiliates,8190283,2903543,-4609937,-3072096,
Miles Memorial Hospital,Mergers,,,,,
Miles Memorial Hospital,Consolidations with Support,,,,,
Miles Memorial Hospital,Other Changes,,,,,
Millinocket Regional Hospital,Total Current Assets,9444974,6170167,5335686,5376561,5792493
Millinocket Regional Hospital,Cash and Investment,5552690,1424246,947279,702598,858385
Millinocket Regional Hospital,Current Assets Whose Use is Limited,,,,,
Millinocket Regional Hospital,Net Patient Accounts Receivable,2233179,2732776,2335680,2929957,2707764
Millinocket Regional Hospital,Due from Affiliates,,,,,
Millinocket Regional Hospital,Third Party Settlements Receivable,65295,85317,146804,29421,70204
Millinocket Regional Hospital,Other Accounts Receivable,146683,189940,232598,162914,143480
Millinocket Regional Hospital,Inventory,436937,454836,404073,421206,502768
Millinocket Regional Hospital,Other Current Assets,1010190,1283052,1269252,1130465,1509892
Millinocket Regional Hospital,Total Non-Current Assets,11693322,15480506,17748099,17918297,18770484
Millinocket Regional Hospital,Trustee Held Investments,222396,222396,369496,369496,369496
Millinocket Regional Hospital,Board Designated and Undesignated Investments,6501825,8296970,9036371,9492579,11005739
Millinocket Regional Hospital,Due From Affiliates,1752874,,,,
Millinocket Regional Hospital,Investments in Affiliates,44294,1684496,1600469,1464160,1397244
Millinocket Regional Hospital,Other Non-current Assets,33832,31326,28820,15439,14036
Millinocket Regional Hospital,"Gross Property, Plant and Equipment",,15269689,17903925,18405912,19085714
Millinocket Regional Hospital,Accumulated Depreciation,12131588,12658607,11692969,12509091,13258306
Millinocket Regional Hospital,"Net Property, Plant and Equipment",,3138101,5245318,6712943,6576623
Millinocket Regional Hospital,Total Unrestricted Assets,21138296,21650673,23083785,23294858,24562977
Millinocket Regional Hospital,Total Current Liabilities,5148962,4263021,3094588,3218077,5376979
Millinocket Regional Hospital,Current Long Term Debt,,152691,160441,360351,374709
Millinocket Regional Hospital,Accounts Payable and Accrued Expenses,2129026,2177428,1959193,2053080,1999827
Millinocket Regional Hospital,Estimated Third Party Settlements,2097919,931414,-178802,-180607,1900751
Millinocket Regional Hospital,Due to Affiliates,,,,,
Millinocket Regional Hospital,Other Current Liabilities,769326,993738,953846,970895,1238119
Millinocket Regional Hospital,Total Non-current Liabilities,3164430,2902342,5623901,5148153,4797556
Millinocket Regional Hospital,Long Term Debt,3164430,2902342,5623901,5148153,4797556
Millinocket Regional Hospital,Estimated Third Party Settlements,,,,,
Millinocket Regional Hospital,Due to Affiliates,,,,,
Millinocket Regional Hospital,Self Insurance Fund,,,,,
Millinocket Regional Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Millinocket Regional Hospital,Other Non-Current Liabilities,,,,,
Millinocket Regional Hospital,Fund Balance Unrestricted,12824904,14484810,14365296,14928628,14388442
Millinocket Regional Hospital,Total Liabilities & Equity,21138296,21650173,23083785,23294858,24562977
Millinocket Regional Hospital,Total Restricted Assets,113731,104421,112583,118338,121972
Millinocket Regional Hospital,Cash and Investments,108710,99421,107583,113338,116972
Millinocket Regional Hospital,Receivables,21,,,,
Millinocket Regional Hospital,Other Assets,5000,5000,5000,5000,5000
Millinocket Regional Hospital,Total Restricted Liabilities and Equity,113731,104421,112583,118338,121972
Millinocket Regional Hospital,Total Restricted Fund Balance,79589,102802,108033,113458,116180
Millinocket Regional Hospital,Total Liabilities,34142,1619,4550,4880,5792
Millinocket Regional Hospital,Temporarily Restricted Net Assets,74589,97802,103033,108458,111180
Millinocket Regional Hospital,Permanently Restricted Net Assets,5000,5000,5000,5000,5000
Millinocket Regional Hospital,Total Gross Patient Service Revenue,,42802955,44931165,44773325,44531709
Millinocket Regional Hospital,Gross Inpatient Service Revenue,10837851,12193015,11950338,11704561,10628052
Millinocket Regional Hospital,Gross Outpatient Service Revenue,31965104,32738150,32822987,32827148,31514076
Millinocket Regional Hospital,Free Care,,,966783,1079671,1289639
Millinocket Regional Hospital,Bad Debt,,,,,534755
Millinocket Regional Hospital,Contractuals,15073506,16643991,15345287,15321292,15206632
Millinocket Regional Hospital,Changes in Prior Year Estimated/Final Settlements,-37000,-550000,-10000,,
Millinocket Regional Hospital,Net Patient Service Revenue,26264911,26603402,27034877,26694399,24365878
Millinocket Regional Hospital,Other Operating Revenue,248239,176976,158439,463334,615963
Millinocket Regional Hospital,Total Operating Revenue,26513150,26780378,27193316,27157733,24981841
Millinocket Regional Hospital,Total Operating Expenses,25750715,26319375,27674012,27599099,27239580
Millinocket Regional Hospital,Depreciation and Amortization,591703,625278,738368,870933,874351
Millinocket Regional Hospital,Interest,165897,118522,243008,258396,223915
Millinocket Regional Hospital,Advertising Expenses,54694,61590,60266,41036,73149
Millinocket Regional Hospital,Allowed Advertising Expenses,33962,36443,39217,34279,20811
Millinocket Regional Hospital,Non-Allowed Advertising Expenses,20732,25147,21049,6757,52338
Millinocket Regional Hospital,Salaries and Benefits,16095846,16422135,17109375,17191903,16919774
Millinocket Regional Hospital,Other Operating Expenses,8842575,9091850,9522995,9236831,9148391
Millinocket Regional Hospital,Net Operating Income,762435,461003,-480696,-441366,-2257739
Millinocket Regional Hospital,Total Non-operating Revenue,209767,203419,197719,597455,995375
Millinocket Regional Hospital,Total Investment Income,208433,191476,247733,514082,970587
Millinocket Regional Hospital,Interest and Dividends,152664,158885,164421,177056,170708
Millinocket Regional Hospital,Realized Gains/Losses on Sales of Securities,55769,32591,83312,337026,799879
Millinocket Regional Hospital,Permanently Impaired Security Writedowns,,,,,
Millinocket Regional Hospital,Gains/Losses on Joint Ventures/Equity Investments,-19224,-1380,-38591,63008,2207
Millinocket Regional Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Millinocket Regional Hospital,Other Non-Operating Revenues,,,,20558,13323
Millinocket Regional Hospital,Excess of Revenue over Expenses,972202,664422,-282977,156089,-1262364
Millinocket Regional Hospital,Extraordinary Gains/Losses,,,,,
Millinocket Regional Hospital,Total Surplus/Deficit,972202,664422,-282977,156089,-1262364
Millinocket Regional Hospital,Total Change in Unrestricted Net Assets,1204542,1659907,-119514,563331,-540188
Millinocket Regional Hospital,Net Assets Released for Restrictions,,,7542,8098,103591
Millinocket Regional Hospital,Unrealized Gains/Losses on Investments,224798,987387,59872,251855,722176
Millinocket Regional Hospital,Minimum Pension Liability Adjustment,,,,,
Millinocket Regional Hospital,Transfers From/To Affiliates,,,,,
Millinocket Regional Hospital,Mergers,,,,,
Millinocket Regional Hospital,Consolidations with Support,,,,,
Millinocket Regional Hospital,Other Changes,,,,,
Mount Desert Island Hospital,Total Current Assets,8371077,8808977,10201374,10446765,8399783
Mount Desert Island Hospital,Cash and Investment,47719,34647,45798,41553,76474
Mount Desert Island Hospital,Current Assets Whose Use is Limited,1079932,524479,537860,493887,499805
Mount Desert Island Hospital,Net Patient Accounts Receivable,4367952,4907393,5020765,6056753,6139447
Mount Desert Island Hospital,Due from Affiliates,,,,,-22168
Mount Desert Island Hospital,Third Party Settlements Receivable,2218752,1918215,3040009,2161435,
Mount Desert Island Hospital,Other Accounts Receivable,,760743,851095,954978,843858
Mount Desert Island Hospital,Inventory,530874,515042,533456,523227,590932
Mount Desert Island Hospital,Other Current Assets,125848,148458,172391,214932,271435
Mount Desert Island Hospital,Total Non-Current Assets,29349443,37039890,35236457,34921059,35421603
Mount Desert Island Hospital,Trustee Held Investments,,,,,
Mount Desert Island Hospital,Board Designated and Undesignated Investments,7255271,8022485,6383727,5487802,7367584
Mount Desert Island Hospital,Due From Affiliates,3711189,4162928,4568187,4801787,4703985
Mount Desert Island Hospital,Investments in Affiliates,,,,,
Mount Desert Island Hospital,Other Non-current Assets,1428558,762967,942426,1910787,180194
Mount Desert Island Hospital,"Gross Property, Plant and Equipment",,37585907,43388199,44796979,46192585
Mount Desert Island Hospital,Accumulated Depreciation,20631482,19296689,21454862,23471902,25337958
Mount Desert Island Hospital,"Net Property, Plant and Equipment",,16954425,24091510,23342117,22720683
Mount Desert Island Hospital,Total Unrestricted Assets,37720520,45848867,45437831,45367824,43821386
