Hospital,Measure,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019
MaineGeneral Medical Center,Current Assets Whose Use is Limited,,,,,
MaineGeneral Medical Center,Net Patient Accounts Receivable,90166543,85648180,80238298,75012710,75004088
MaineGeneral Medical Center,Due from Affiliates,371024,565181,1303838,728151,1773915
MaineGeneral Medical Center,Third Party Settlements Receivable,,14581000,8496493,11081861,9981316
MaineGeneral Medical Center,Other Accounts Receivable,,,,,
MaineGeneral Medical Center,Inventory,5460540,5645395,5275431,5955760,6465824
MaineGeneral Medical Center,Other Current Assets,7280763,11633690,11128546,13442563,15224278
MaineGeneral Medical Center,Total Non-Current Assets,498140863,483116450,466589596,465145302,470027635
MaineGeneral Medical Center,Trustee Held Investments,24516455,24263341,24294245,25393173,28002015
MaineGeneral Medical Center,Board Designated and Undesignated Investments,52953883,60257746,58920821,66923274,71890931
MaineGeneral Medical Center,Due from Affiliates,,,,,
MaineGeneral Medical Center,Investment in Affiliates,,,,,
MaineGeneral Medical Center,Other Non-Current Assets,7866673,2987511,2132564,2132518,2386655
MaineGeneral Medical Center,"Gross Property, Plant and Equipment",,598210080,602342532,602717645,606976495
MaineGeneral Medical Center,Accumulated Depreciation,185406228,206734680,221475679,236280158,253294547
MaineGeneral Medical Center,"Net Property, Plant and Equipment",,412803852,395607852,381241966,370696337
MaineGeneral Medical Center,Total Unrestricted Assets,628126617,616568796,596599061,593512836,605438179
MaineGeneral Medical Center,Total Current Liabilities,77124913,70038836,70085844,56991415,67661140
MaineGeneral Medical Center,Current Long Term Debt,,3078152,3493049,10792175,4167706
MaineGeneral Medical Center,Accounts Payable and Accrued Expenses,32833776,32451810,30595125,30756233,35937408
MaineGeneral Medical Center,Estimated Third Party Settlements,12975063,8070640,,,
MaineGeneral Medical Center,Due to Affiliates,10186359,7626062,6733095,2362650,4593317
MaineGeneral Medical Center,Other Current Liabilities,18051563,18397275,21965449,19704826,20245244
MaineGeneral Medical Center,Total Non-Current Liabilities,334873936,346432198,326721270,323173953,324125164
MaineGeneral Medical Center,Long Term Debt,306222664,299822644,289207631,292493166,285494232
MaineGeneral Medical Center,Estimated Third Party Settlements,,,,,
MaineGeneral Medical Center,Due to Affiliates,,,,,
MaineGeneral Medical Center,Self Insurance Fund,,,,,
MaineGeneral Medical Center,Accrued Pension and Post Retiree Health Benefits,26193544,44126843,33926145,26809719,32611724
MaineGeneral Medical Center,Other Non-Current Liabilities,2457728,2482711,3587494,3871068,6019208
MaineGeneral Medical Center,Fund Balance Unrestricted,216127768,200097762,199791947,213347468,213651875
MaineGeneral Medical Center,Total Liabilities & Equity,628126617,616568796,596599061,593512836,605438179
MaineGeneral Medical Center,Total Restricted Assets,22487126,21807438,23228406,23960624,24024266
MaineGeneral Medical Center,Cash and Investments,20463350,20522582,22514727,23422213,23641238
MaineGeneral Medical Center,Receivables,2023776,1284856,713679,538411,383028
MaineGeneral Medical Center,Other Assets,,,,,
MaineGeneral Medical Center,Total Restricted Liabilities and Equity,22487126,21807438,23228406,23960624,24024266
MaineGeneral Medical Center,Total Restricted Fund Balance,22487126,21807438,23228406,23960624,24024266
MaineGeneral Medical Center,Total Liabilities,,,,,
MaineGeneral Medical Center,Temporarily Restricted Net Assets,5707308,4454112,4568545,4287617,4262119
MaineGeneral Medical Center,Permanently Restricted Net Assets,16779818,17353326,18659861,19673007,19762147
MaineGeneral Medical Center,Total Gross Patient Service Revenue,,843043211,910123283,956756011,1022992410
MaineGeneral Medical Center,Gross Inpatient Service Revenue,275100531,299327291,312446321,328844314,360625491
MaineGeneral Medical Center,Gross Outpatient Service Revenue,567942680,610795992,644309690,694148096,758289145
MaineGeneral Medical Center,Free Care,,,12586822,12262918,8071116
MaineGeneral Medical Center,Bad Debt,,,,,34619280
MaineGeneral Medical Center,Contractuals,422388836,457775592,502914106,541221368,608647466
MaineGeneral Medical Center,Changes in Prior Year Estimated/Final Settlements,-4300000,-14700000,-2700000,-2256000,85000
MaineGeneral Medical Center,Net Patient Service Revenue,377748273,421904417,417512026,441711160,470457633
MaineGeneral Medical Center,Other Operating Revenue,29867507,31085867,31100029,34915821,41760185
MaineGeneral Medical Center,Total Operating Revenue,407615780,452990284,448612055,476626981,512217818
MaineGeneral Medical Center,Total Operating Expenses,431924624,451708135,467732126,474648582,505906810
MaineGeneral Medical Center,Depreciation and Amortization,28934935,28700414,28568903,21828942,20629555
MaineGeneral Medical Center,Interest,20111518,20125907,19980189,19916003,20009372
MaineGeneral Medical Center,Advertising Expenses,781314,649802,854890,855024,792735
MaineGeneral Medical Center,Allowed Advertising Expenses,781314,649802,854890,855024,792735
MaineGeneral Medical Center,Non-Allowed Advertising Expenses,,,,,
MaineGeneral Medical Center,Salaries and Benefits,218559348,228505372,240788191,249179916,262406788
MaineGeneral Medical Center,Other Operating Expenses,163537509,173726640,177539953,182868697,202068360
MaineGeneral Medical Center,Net Operating Income,-24308844,1282149,-19120071,1978399,6311008
MaineGeneral Medical Center,Total Non-Operating Revenue,3371349,1637575,4550452,2307130,4209036
MaineGeneral Medical Center,Total Investment Income,3097434,1032331,4151553,1590467,1559941
MaineGeneral Medical Center,Interest and Dividends,744102,1038487,593776,1076464,1364933
MaineGeneral Medical Center,Realized Gains/Losses on Sales of Securities,2353332,-6156,3557777,514003,195008
MaineGeneral Medical Center,Permanently Impaired Security Writedowns,,,,,
MaineGeneral Medical Center,Gains/Losses on Joint Ventures/Equity Investments,,,,,
MaineGeneral Medical Center,Permanently Impaired Writedowns of Other Assets,,,,,
MaineGeneral Medical Center,Other Non-Operating Revenues,,,,273915,605244
MaineGeneral Medical Center,Excess of Revenue over Expenses,-20937495,2919724,-14569619,4285529,10520044
MaineGeneral Medical Center,Extraordinary Gains/Losses,,,,,
MaineGeneral Medical Center,Total Surplus/Deficit,-20937495,2919724,-14569619,4285529,10520044
MaineGeneral Medical Center,Total Change in Unrestricted Net Assets,-25560126,-16030006,-306815,13555522,304407
MaineGeneral Medical Center,Net Assets Released for Restrictions,,,6952800,822486,674304
MaineGeneral Medical Center,Unrealized Gains/Losses on Investments,-2688993,-1321773,2333949,1761365,76979
MaineGeneral Medical Center,Minimum Pension Liability Adjustment,-8186438,-17950443,11709551,7255397,-9287428
MaineGeneral Medical Center,Transfers From/To Affiliates,-700000,-500000,-455000,,-1300000
MaineGeneral Medical Center,Mergers,,,,,
MaineGeneral Medical Center,Consolidations with Support,,,,,
MaineGeneral Medical Center,Other Changes,,,,,
Mayo Regional Hospital,Total Current Assets,13857983,10939928,9920972,11335354,12681552
Mayo Regional Hospital,Cash and Investment,5455837,2830057,2608175,2925743,1393451
Mayo Regional Hospital,Current Assets Whose Use is Limited,,,,,
Mayo Regional Hospital,Net Patient Accounts Receivable,5928824,5494438,5056699,5720889,8160863
Mayo Regional Hospital,Due from Affiliates,,,,,
Mayo Regional Hospital,Third Party Settlements Receivable,,,19326,,368400
Mayo Regional Hospital,Other Accounts Receivable,,,,,
Mayo Regional Hospital,Inventory,767823,722215,721503,825862,849253
Mayo Regional Hospital,Other Current Assets,1705499,1893218,1515269,1862860,1909585
Mayo Regional Hospital,Total Non-Current Assets,23575284,24406622,29862636,32669684,29190615
Mayo Regional Hospital,Trustee Held Investments,,,,,
Mayo Regional Hospital,Board Designated and Undesignated Investments,11585367,12660431,13936755,15324939,12317714
Mayo Regional Hospital,Due from Affiliates,,,,,
Mayo Regional Hospital,Investment in Affiliates,,,,,
Mayo Regional Hospital,Other Non-Current Assets,178307,208583,250337,2384559,2384059
Mayo Regional Hospital,"Gross Property, Plant and Equipment",,39953541,41297358,46978765,48244952
Mayo Regional Hospital,Accumulated Depreciation,28141931,29759750,31303221,33284766,35125678
Mayo Regional Hospital,"Net Property, Plant and Equipment",,11811610,11537608,15675544,14960186
Mayo Regional Hospital,Total Unrestricted Assets,37433267,35346550,39783608,44005038,41872167
Mayo Regional Hospital,Total Current Liabilities,6590462,5640118,5760068,7896397,13949200
Mayo Regional Hospital,Current Long Term Debt,,444093,445584,487361,917622
Mayo Regional Hospital,Accounts Payable and Accrued Expenses,3989297,4622481,4921379,5770479,8505339
Mayo Regional Hospital,Estimated Third Party Settlements,2157072,572053,,1208296,
Mayo Regional Hospital,Due to Affiliates,,,,,
Mayo Regional Hospital,Other Current Liabilities,,,351328,,
Mayo Regional Hospital,Total Non-Current Liabilities,2996739,2551155,6790295,8512210,3102045
Mayo Regional Hospital,Long Term Debt,2996739,2551155,6790295,8512210,3102045
Mayo Regional Hospital,Estimated Third Party Settlements,,,,,
Mayo Regional Hospital,Due to Affiliates,,,,,
Mayo Regional Hospital,Self Insurance Fund,,,,,
Mayo Regional Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Mayo Regional Hospital,Other Non-Current Liabilities,,,,,
Mayo Regional Hospital,Fund Balance Unrestricted,27846066,27155277,27233245,27596431,24820922
Mayo Regional Hospital,Total Liabilities & Equity,37433267,35346550,39783608,44005038,41872167
Mayo Regional Hospital,Total Restricted Assets,965555,1239413,1046680,1073791,1060171
Mayo Regional Hospital,Cash and Investments,965555,1239413,1046680,1073791,1060171
Mayo Regional Hospital,Receivables,,,,,
Mayo Regional Hospital,Other Assets,,,,,
Mayo Regional Hospital,Total Restricted Liabilities and Equity,965555,1239413,1046680,1073791,1060171
Mayo Regional Hospital,Total Restricted Fund Balance,965555,1239413,1046680,1073791,1060171
Mayo Regional Hospital,Total Liabilities,,,,,
Mayo Regional Hospital,Temporarily Restricted Net Assets,540872,811101,601404,629720,620950
Mayo Regional Hospital,Permanently Restricted Net Assets,424683,428312,445276,444071,439221
Mayo Regional Hospital,Total Gross Patient Service Revenue,,80185539,84504336,86622311,88294242
Mayo Regional Hospital,Gross Inpatient Service Revenue,12745980,13712271,15299874,14466078,14272742
Mayo Regional Hospital,Gross Outpatient Service Revenue,67439559,70792065,71322437,73828164,78887436
Mayo Regional Hospital,Free Care,,,2967891,2967289,2223381
Mayo Regional Hospital,Bad Debt,,,,,2844420
Mayo Regional Hospital,Contractuals,31324731,32179516,35592994,36157147,36898999
Mayo Regional Hospital,Changes in Prior Year Estimated/Final Settlements,-1655000,471000,-56000,136000,-158000
Mayo Regional Hospital,Net Patient Service Revenue,44703497,45906378,46440411,46990763,49862380
Mayo Regional Hospital,Other Operating Revenue,3318910,3149295,3188608,3883017,4057244
Mayo Regional Hospital,Total Operating Revenue,48022407,49055673,49629019,50873780,53919624
Mayo Regional Hospital,Total Operating Expenses,48033540,50661240,51415992,52379599,57122097
Mayo Regional Hospital,Depreciation and Amortization,1849936,1725471,1847899,2001961,2194799
Mayo Regional Hospital,Interest,164235,145751,154325,270810,258047
Mayo Regional Hospital,Advertising Expenses,,,,,
Mayo Regional Hospital,Allowed Advertising Expenses,,,,,
Mayo Regional Hospital,Non-Allowed Advertising Expenses,,,,,
Mayo Regional Hospital,Salaries and Benefits,30468498,31513876,32351634,32890107,34667847
Mayo Regional Hospital,Other Operating Expenses,15550871,17276142,17062134,17216721,20001404
Mayo Regional Hospital,Net Operating Income,-11133,-1605567,-1786973,-1505819,-3202473
Mayo Regional Hospital,Total Non-Operating Revenue,-226347,906308,1558528,1848684,384738
Mayo Regional Hospital,Total Investment Income,-266962,889208,1542656,1833094,383512
Mayo Regional Hospital,Interest and Dividends,215144,301214,306169,335385,366837
Mayo Regional Hospital,Realized Gains/Losses on Sales of Securities,-482106,587994,1236487,1497709,16675
Mayo Regional Hospital,Permanently Impaired Security Writedowns,,,,,
Mayo Regional Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Mayo Regional Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Mayo Regional Hospital,Other Non-Operating Revenues,,,,40615,17100
Mayo Regional Hospital,Excess of Revenue over Expenses,-237480,-699259,-228445,342865,-2817735
Mayo Regional Hospital,Extraordinary Gains/Losses,,251120,46594,20323,15077
Mayo Regional Hospital,Total Surplus/Deficit,-237480,-448139,-181851,363188,-2802658
Mayo Regional Hospital,Total Change in Unrestricted Net Assets,-258122,-416931,-114765,390297,-2789129
Mayo Regional Hospital,Net Assets Released for Restrictions,,,,,
Mayo Regional Hospital,Unrealized Gains/Losses on Investments,-20642,31208,67086,27109,13529
Mayo Regional Hospital,Minimum Pension Liability Adjustment,,,,,
Mayo Regional Hospital,Transfers From/To Affiliates,,,,,
Mayo Regional Hospital,Mergers,,,,,
Mayo Regional Hospital,Consolidations with Support,,,,,
Mayo Regional Hospital,Other Changes,,,,,
Mercy Hospital,Total Current Assets,52929961,40524207,24352570,25840182,33760358
Mercy Hospital,Cash and Investment,10461867,4328335,-8364781,-9382182,-4335400
Mercy Hospital,Current Assets Whose Use is Limited,19917,155328,165282,161089,159458
Mercy Hospital,Net Patient Accounts Receivable,30547749,26876917,24916814,26127701,27338709
Mercy Hospital,Due from Affiliates,1518758,3149783,104595,176420,6280
Mercy Hospital,Third Party Settlements Receivable,473299,102000,419040,2245379,3914338
Mercy Hospital,Other Accounts Receivable,4454770,1054883,1562253,1143115,1152589
Mercy Hospital,Inventory,4496776,4059505,4353525,4422860,4542560
Mercy Hospital,Other Current Assets,956825,797456,1195842,945800,981824
Mercy Hospital,Total Non-Current Assets,130237715,114964923,109062781,102561490,100781581
Mercy Hospital,Trustee Held Investments,5050184,4108072,391691,55477,96502
Mercy Hospital,Board Designated and Undesignated Investments,,16867,3679352,4067220,5351060
Mercy Hospital,Due from Affiliates,,,,,
Mercy Hospital,Investment in Affiliates,,,,,
Mercy Hospital,Other Non-Current Assets,9778515,6639686,5727149,4102781,4168815
Mercy Hospital,"Gross Property, Plant and Equipment",,138698214,140670635,142321575,144108847
Mercy Hospital,Accumulated Depreciation,23289198,36470337,43056986,49772835,56147416
Mercy Hospital,"Net Property, Plant and Equipment",,115409016,104200298,99264589,94336012
Mercy Hospital,Total Unrestricted Assets,183167676,155489130,133415351,128401672,134541939
Mercy Hospital,Total Current Liabilities,58833947,56209109,34059372,32962086,29705197
Mercy Hospital,Current Long Term Debt,,2804458,2974169,3085687,3203984
Mercy Hospital,Accounts Payable and Accrued Expenses,32220913,24036848,21407639,19170474,16397910
Mercy Hospital,Estimated Third Party Settlements,1756873,2223163,2249000,689000,
Mercy Hospital,Due to Affiliates,19051703,26974929,7317046,9898628,9976594
Mercy Hospital,Other Current Liabilities,3000000,,,,
Mercy Hospital,Total Non-Current Liabilities,82443999,78921407,74316649,70331293,66651767
Mercy Hospital,Long Term Debt,63720444,66231144,63182199,60014893,56720837
Mercy Hospital,Estimated Third Party Settlements,351000,375000,67000,,
Mercy Hospital,Due to Affiliates,,,,,
Mercy Hospital,Self Insurance Fund,6971471,2198324,1551485,1073303,1115446
Mercy Hospital,Accrued Pension and Post Retiree Health Benefits,3078732,3141211,3668282,4056897,4234153
Mercy Hospital,Other Non-Current Liabilities,8322352,6975728,5847683,5186200,4581331
Mercy Hospital,Fund Balance Unrestricted,41889730,20358614,25039330,25108293,38184975
Mercy Hospital,Total Liabilities & Equity,183167676,155489130,133415351,128401672,134541939
Mercy Hospital,Total Restricted Assets,3506724,8703054,9210586,12716202,14297161
Mercy Hospital,Cash and Investments,3506724,8703054,9210586,12716202,14297161
Mercy Hospital,Receivables,,,,,
Mercy Hospital,Other Assets,,,,,
Mercy Hospital,Total Restricted Liabilities and Equity,3506724,8703054,9210586,12716202,14297161
Mercy Hospital,Total Restricted Fund Balance,3506724,8703054,9210586,12716202,14297161
Mercy Hospital,Total Liabilities,,,,,
Mercy Hospital,Temporarily Restricted Net Assets,1649546,6776487,7212788,9388919,10945754
Mercy Hospital,Permanently Restricted Net Assets,1857178,1926567,1997798,3327283,3351407
Mercy Hospital,Total Gross Patient Service Revenue,,529496481,534217130,510518758,542283180
Mercy Hospital,Gross Inpatient Service Revenue,176508621,176481309,160954173,166440707,169084465
Mercy Hospital,Gross Outpatient Service Revenue,352987860,357735821,349564585,375842473,360444458
Mercy Hospital,Free Care,,,13808471,10682028,8709325
Mercy Hospital,Bad Debt,,,,,19083611
Mercy Hospital,Contractuals,283413323,296999880,278320099,297155240,285293402
Mercy Hospital,Changes in Prior Year Estimated/Final Settlements,-502704,-509229,-875654,-493040,-3080276
Mercy Hospital,Net Patient Service Revenue,213693780,215240345,208460634,218869813,230171846
Mercy Hospital,Other Operating Revenue,3855111,4898145,3705489,4261993,4140746
Mercy Hospital,Total Operating Revenue,217548891,220138490,212166123,223131806,234312592
Mercy Hospital,Total Operating Expenses,239788262,237582512,216097467,221590233,221939349
Mercy Hospital,Depreciation and Amortization,13837221,13264858,7161702,6974016,6436310
Mercy Hospital,Interest,2294689,2355183,2388317,2283982,2171683
Mercy Hospital,Advertising Expenses,524603,421122,253948,427239,550641
Mercy Hospital,Allowed Advertising Expenses,2206,44041,4155,5056,5060
Mercy Hospital,Non-Allowed Advertising Expenses,522397,377081,249793,422183,545581
Mercy Hospital,Salaries and Benefits,126575306,121725248,107499634,112072530,117314217
Mercy Hospital,Other Operating Expenses,96556443,99816101,98793866,99832466,95466498
Mercy Hospital,Net Operating Income,-22239371,-17444022,-3931344,1541573,12373243
Mercy Hospital,Total Non-Operating Revenue,-128240,42039,71296,83312,-160810
Mercy Hospital,Total Investment Income,25004,42939,28889,66164,1866
Mercy Hospital,Interest and Dividends,25004,42939,28889,66164,1866
Mercy Hospital,Realized Gains/Losses on Sales of Securities,,,,,
Mercy Hospital,Permanently Impaired Security Writedowns,,,,,
Mercy Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,100000
Mercy Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Mercy Hospital,Other Non-Operating Revenues,,,,-153244,-900
Mercy Hospital,Excess of Revenue over Expenses,-22367611,-17401983,-3860048,1624885,12212433
Mercy Hospital,Extraordinary Gains/Losses,,,,,
Mercy Hospital,Total Surplus/Deficit,-22367611,-17401983,-3860048,1624885,12212433
Mercy Hospital,Total Change in Unrestricted Net Assets,-16009488,-21531116,4680716,68963,13076680
Mercy Hospital,Net Assets Released for Restrictions,,,678417,239369,86170
Mercy Hospital,Unrealized Gains/Losses on Investments,,,,,
Mercy Hospital,Minimum Pension Liability Adjustment,,,,,
Mercy Hospital,Transfers From/To Affiliates,5679706,-4368502,8454594,-1563455,-885672
Mercy Hospital,Mergers,,,,,
Mercy Hospital,Consolidations with Support,,,,,
Mercy Hospital,Other Changes,,,,,
Mid Coast Hospital,Total Current Assets,38221984,38774419,42779683,48926870,55045368
Mid Coast Hospital,Cash and Investment,5236629,5691528,8390997,5806016,8289649
Mid Coast Hospital,Current Assets Whose Use is Limited,711121,711123,,,
Mid Coast Hospital,Net Patient Accounts Receivable,25030337,24605411,26897357,34783240,38678689
Mid Coast Hospital,Due from Affiliates,1424724,1399704,816166,1608044,1251246
Mid Coast Hospital,Third Party Settlements Receivable,,,,,
Mid Coast Hospital,Other Accounts Receivable,,,,,
Mid Coast Hospital,Inventory,2974822,2990867,3117208,3261612,3018870
Mid Coast Hospital,Other Current Assets,2844351,3375786,3557955,3467958,3806914
Mid Coast Hospital,Total Non-Current Assets,121228577,126419171,134388122,132740310,135040548
Mid Coast Hospital,Trustee Held Investments,,,3340690,,
Mid Coast Hospital,Board Designated and Undesignated Investments,49641007,52808487,51686382,49997027,53377687
Mid Coast Hospital,Due from Affiliates,1198895,1064419,1179917,1111882,1105269
Mid Coast Hospital,Investment in Affiliates,,,,,
Mid Coast Hospital,Other Non-Current Assets,11427603,13310392,15018807,17259076,18046439
Mid Coast Hospital,"Gross Property, Plant and Equipment",,122418210,128350918,135786821,141239201
Mid Coast Hospital,Accumulated Depreciation,63457138,69115045,72624495,76866876,82006564
Mid Coast Hospital,"Net Property, Plant and Equipment",,58961072,59235873,63162326,64372325
Mid Coast Hospital,Total Unrestricted Assets,159450561,165193590,177167805,181667180,190085916
Mid Coast Hospital,Total Current Liabilities,20129824,20308880,20938033,20943582,21695625
Mid Coast Hospital,Current Long Term Debt,,1458405,1518848,3372007,3291676
Mid Coast Hospital,Accounts Payable and Accrued Expenses,14930286,15657105,15883344,16158622,18054569
Mid Coast Hospital,Estimated Third Party Settlements,3741133,3132927,1682682,1493284,349380
Mid Coast Hospital,Due to Affiliates,,,,,
Mid Coast Hospital,Other Current Liabilities,,,,,
Mid Coast Hospital,Total Non-Current Liabilities,39289443,39794757,45281873,44283706,41498543
Mid Coast Hospital,Long Term Debt,27229954,25698238,29442489,26169866,22897244
Mid Coast Hospital,Estimated Third Party Settlements,,,,,
Mid Coast Hospital,Due to Affiliates,,,,,
Mid Coast Hospital,Self Insurance Fund,,,,,
Mid Coast Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Mid Coast Hospital,Other Non-Current Liabilities,12059489,14096519,15839384,18113840,18601299
Mid Coast Hospital,Fund Balance Unrestricted,100031294,105089953,110947899,116439892,126891748
Mid Coast Hospital,Total Liabilities & Equity,159450561,165193590,177167805,181667180,190085916
Mid Coast Hospital,Total Restricted Assets,18128679,19231175,21497218,23024539,22663138
Mid Coast Hospital,Cash and Investments,18128679,19231175,21264125,22454566,22546407
Mid Coast Hospital,Receivables,,,233093,569973,116731
Mid Coast Hospital,Other Assets,,,,,
Mid Coast Hospital,Total Restricted Liabilities and Equity,18128679,19231175,21497218,23024539,22663138
Mid Coast Hospital,Total Restricted Fund Balance,18128679,19231175,21497218,23024539,22663138
Mid Coast Hospital,Total Liabilities,,,,,
Mid Coast Hospital,Temporarily Restricted Net Assets,10036160,11076041,13284181,14763496,14353422
Mid Coast Hospital,Permanently Restricted Net Assets,8092519,8155134,8213037,8261043,8309716
Mid Coast Hospital,Total Gross Patient Service Revenue,,299702726,352852401,392512328,438782015
Mid Coast Hospital,Gross Inpatient Service Revenue,80427856,88057518,94998613,171151403,207088549
Mid Coast Hospital,Gross Outpatient Service Revenue,219274870,264794883,297513715,267630612,292100266
Mid Coast Hospital,Free Care,,,5032555,5779733,5876108
Mid Coast Hospital,Bad Debt,,,,,10087708
Mid Coast Hospital,Contractuals,137977144,165031672,193463470,229633992,265316966
Mid Coast Hospital,Changes in Prior Year Estimated/Final Settlements,-768000,,,,
Mid Coast Hospital,Net Patient Service Revenue,147373319,169448620,178440156,185122788,205181935
Mid Coast Hospital,Other Operating Revenue,5161139,5894137,5395582,5290089,4968616
Mid Coast Hospital,Total Operating Revenue,152534458,175342757,183835738,190412877,210150551
Mid Coast Hospital,Total Operating Expenses,149627287,174192175,180805174,189722242,204159047
Mid Coast Hospital,Depreciation and Amortization,5658751,5907252,6157076,6729248,6965855
Mid Coast Hospital,Interest,1611095,1553364,1179739,923371,910164
Mid Coast Hospital,Advertising Expenses,341218,274463,249487,245925,215081
Mid Coast Hospital,Allowed Advertising Expenses,,,,,
Mid Coast Hospital,Non-Allowed Advertising Expenses,341218,274463,249487,245925,215081
Mid Coast Hospital,Salaries and Benefits,85017633,99012275,102064560,108190661,113229781
Mid Coast Hospital,Other Operating Expenses,56998590,67444821,71154312,73633037,82838166
Mid Coast Hospital,Net Operating Income,2907171,1150582,3030564,690635,5991504
Mid Coast Hospital,Total Non-Operating Revenue,2888273,2163445,2050388,3282648,3718489
Mid Coast Hospital,Total Investment Income,2713675,1903248,1810028,3048993,3186640
Mid Coast Hospital,Interest and Dividends,2281984,1922158,1872671,2530286,2568686
Mid Coast Hospital,Realized Gains/Losses on Sales of Securities,431691,-18910,-62643,518707,617954
Mid Coast Hospital,Permanently Impaired Security Writedowns,,,,,
Mid Coast Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Mid Coast Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Mid Coast Hospital,Other Non-Operating Revenues,,,,174598,260197
Mid Coast Hospital,Excess of Revenue over Expenses,5795444,3314027,5080952,3973283,9709993
Mid Coast Hospital,Extraordinary Gains/Losses,593865,242890,-895539,,
Mid Coast Hospital,Total Surplus/Deficit,6389309,3556917,4185413,3973283,9709993
Mid Coast Hospital,Total Change in Unrestricted Net Assets,5956379,5058659,5857946,5491993,10451856
Mid Coast Hospital,Net Assets Released for Restrictions,,,261770,40000,3966
Mid Coast Hospital,Unrealized Gains/Losses on Investments,-694700,1461742,1668567,519605,227073
Mid Coast Hospital,Minimum Pension Liability Adjustment,,,,,
Mid Coast Hospital,Transfers From/To Affiliates,,,,,
Mid Coast Hospital,Mergers,,,,,
Mid Coast Hospital,Consolidations with Support,,,,,
Mid Coast Hospital,Other Changes,,,,,
Millinocket Regional Hospital,Total Current Assets,5469493,8186772,12747199,6900742,8250482
Millinocket Regional Hospital,Cash and Investment,303888,480312,249516,324194,406822
Millinocket Regional Hospital,Current Assets Whose Use is Limited,,,,137588,137160
Millinocket Regional Hospital,Net Patient Accounts Receivable,2799361,3629306,3957321,2942414,3192232
Millinocket Regional Hospital,Due from Affiliates,,,,92604,-28550
Millinocket Regional Hospital,Third Party Settlements Receivable,154574,76623,1610000,-758561,
Millinocket Regional Hospital,Other Accounts Receivable,166241,185924,4453943,3272922,235496
Millinocket Regional Hospital,Inventory,518715,577617,637893,600159,608014
Millinocket Regional Hospital,Other Current Assets,1526714,3236990,1838526,289422,3699308
Millinocket Regional Hospital,Total Non-Current Assets,18538230,15467954,12292803,9899155,8106094
Millinocket Regional Hospital,Trustee Held Investments,369496,220122,220122,220122,220122
Millinocket Regional Hospital,Board Designated and Undesignated Investments,11110283,8072483,5229132,3461215,2035883
Millinocket Regional Hospital,Due from Affiliates,,,,,
Millinocket Regional Hospital,Investment in Affiliates,1329274,1420169,1466353,1303570,1238958
Millinocket Regional Hospital,Other Non-Current Assets,12632,11229,9825,36385,211945
Millinocket Regional Hospital,"Gross Property, Plant and Equipment",,19725516,20540284,20918546,21105605
Millinocket Regional Hospital,Accumulated Depreciation,14008971,14796333,15551175,16227742,15638762
Millinocket Regional Hospital,"Net Property, Plant and Equipment",,5716545,5743951,5367371,4877863
Millinocket Regional Hospital,Total Unrestricted Assets,24007723,23654726,25040002,16799897,16356576
Millinocket Regional Hospital,Total Current Liabilities,5407725,6383080,9627049,7260154,8685548
Millinocket Regional Hospital,Current Long Term Debt,,204773,205734,243546,243546
Millinocket Regional Hospital,Accounts Payable and Accrued Expenses,2303927,4018865,5017510,4954339,6994219
Millinocket Regional Hospital,Estimated Third Party Settlements,1490371,740000,,,-75978
Millinocket Regional Hospital,Due to Affiliates,,,,-238,
Millinocket Regional Hospital,Other Current Liabilities,1408654,1418481,4365993,2062507,1683761
Millinocket Regional Hospital,Total Non-Current Liabilities,4347416,4014361,3868494,3512740,3359806
Millinocket Regional Hospital,Long Term Debt,4347416,4014361,3868494,3582627,3359806
Millinocket Regional Hospital,Estimated Third Party Settlements,,,,,
Millinocket Regional Hospital,Due to Affiliates,,,,26667,
Millinocket Regional Hospital,Self Insurance Fund,,,,,
Millinocket Regional Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Millinocket Regional Hospital,Other Non-Current Liabilities,,,,-96554,
Millinocket Regional Hospital,Fund Balance Unrestricted,14252582,13257285,11544459,6027003,4311222
Millinocket Regional Hospital,Total Liabilities & Equity,24007723,23654726,25040002,16799897,16356576
Millinocket Regional Hospital,Total Restricted Assets,129052,5000,5000,415661,340826
Millinocket Regional Hospital,Cash and Investments,124052,,5000,415661,335962
Millinocket Regional Hospital,Receivables,,,,,4864
Millinocket Regional Hospital,Other Assets,5000,5000,,,
Millinocket Regional Hospital,Total Restricted Liabilities and Equity,129052,5000,5000,415661,340826
Millinocket Regional Hospital,Total Restricted Fund Balance,113899,5000,5000,410261,339348
Millinocket Regional Hospital,Total Liabilities,15153,,,5400,1478
Millinocket Regional Hospital,Temporarily Restricted Net Assets,108899,,,405261,334303
Millinocket Regional Hospital,Permanently Restricted Net Assets,5000,5000,5000,5000,5045
Millinocket Regional Hospital,Total Gross Patient Service Revenue,,42466562,45220271,49793640,52254707
