Organization,Measure,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009
Mercy Hospital,Total Non-operating Revenue,1998156,2610406,3683621,-12324000,12472000
Mercy Hospital,Total Investment Income,1644787,2281717,1937715,-685000,-244000
Mercy Hospital,Interest and Dividends,604835,901573,730840,947000,213000
Mercy Hospital,Realized Gains/Losses on Sales of Securities,1039952,1380144,1206875,-1632000,-457000
Mercy Hospital,Permanently Impaired Security Writedowns,,,,,
Mercy Hospital,Gains/Losses on Joint Ventures/Equity Investments,12957,656996,60829,424000,-78000
Mercy Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Mercy Hospital,Other Non-Operating Revenues,,,,340412,-328307
Mercy Hospital,Excess of Revenue over Expenses,5739303,6954437,7046943,-12911000,7075000
Mercy Hospital,Extraordinary Gains/Losses,,,,,
Mercy Hospital,Total Surplus/Deficit,5739303,6954437,7046943,-12911000,7075000
Mercy Hospital,Total Change in Unrestricted Net Assets,5129846,7388211,5152969,-5355000,11791000
Mercy Hospital,Net Assets Released for Restrictions,,,15887,10126,71473
Mercy Hospital,Unrealized Gains/Losses on Investments,-106530,432648,-90775,-2549000,
Mercy Hospital,Minimum Pension Liability Adjustment,,,,,
Mercy Hospital,Transfers From/To Affiliates,-57000,-9000,26989,-39000,3000
Mercy Hospital,Mergers,,,,,
Mercy Hospital,Consolidations with Support,,,,,
Mercy Hospital,Other Changes,-461814,,-1901661,,
Mid Coast Hospital,Total Current Assets,16265089,16765437,18662850,15936700,25606051
Mid Coast Hospital,Cash and Investment,8282477,7591499,7570212,3283545,7391801
Mid Coast Hospital,Current Assets Whose Use is Limited,544361,550372,376031,543017,5422393
Mid Coast Hospital,Net Patient Accounts Receivable,4267025,5338559,5841136,7472225,8049122
Mid Coast Hospital,Due from Affiliates,148081,472602,1126007,435981,996190
Mid Coast Hospital,Third Party Settlements Receivable,520658,,,752421,
Mid Coast Hospital,Other Accounts Receivable,,,,,
Mid Coast Hospital,Inventory,1711103,1659892,1904952,1986026,2067641
Mid Coast Hospital,Other Current Assets,791384,1152513,1844512,1463485,1678904
Mid Coast Hospital,Total Non-Current Assets,70331091,78179281,83618991,84657168,94002700
Mid Coast Hospital,Trustee Held Investments,2917694,3220682,3866697,3390787,3750070
Mid Coast Hospital,Board Designated and Undesignated Investments,19454470,28841803,33264957,31685579,26583027
Mid Coast Hospital,Due From Affiliates,3009049,3000654,2496096,2882715,2916553
Mid Coast Hospital,Investments in Affiliates,,,,,
Mid Coast Hospital,Other Non-current Assets,974567,913286,898328,876181,971976
Mid Coast Hospital,"Gross Property, Plant and Equipment",,63204607,65390737,70038662,76899892
Mid Coast Hospital,Accumulated Depreciation,19229296,23187881,26945749,31077986,35348542
Mid Coast Hospital,"Net Property, Plant and Equipment",,43975311,42202856,43092913,45821906
Mid Coast Hospital,Total Unrestricted Assets,86596180,94944718,102281841,100593868,119608751
Mid Coast Hospital,Total Current Liabilities,9031619,10017660,11993686,11611859,15476143
Mid Coast Hospital,Current Long Term Debt,,1806694,1782853,1969692,947472
Mid Coast Hospital,Accounts Payable and Accrued Expenses,7224925,7878359,8800928,10664387,13684517
Mid Coast Hospital,Estimated Third Party Settlements,,356448,1223066,,1006626
Mid Coast Hospital,Due to Affiliates,,,,,
Mid Coast Hospital,Other Current Liabilities,,,,,
Mid Coast Hospital,Total Non-current Liabilities,29367573,27895947,28059824,26620374,37683053
Mid Coast Hospital,Long Term Debt,26449879,24675265,24193127,23229587,33932983
Mid Coast Hospital,Estimated Third Party Settlements,,,,,
Mid Coast Hospital,Due to Affiliates,,,,,
Mid Coast Hospital,Self Insurance Fund,,,,,
Mid Coast Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Mid Coast Hospital,Other Non-Current Liabilities,2917694,3220682,3866697,3390787,3750070
Mid Coast Hospital,Fund Balance Unrestricted,48196988,57031111,62228331,62361635,66449555
Mid Coast Hospital,Total Liabilities & Equity,86596180,94944718,102281841,100593868,119608751
Mid Coast Hospital,Total Restricted Assets,11002460,11775271,15417992,13166936,13455082
Mid Coast Hospital,Cash and Investments,11002460,11775271,15417992,13166936,13455082
Mid Coast Hospital,Receivables,,,,,
Mid Coast Hospital,Other Assets,,,,,
Mid Coast Hospital,Total Restricted Liabilities and Equity,11002460,11775271,15417992,13166936,13455082
Mid Coast Hospital,Total Restricted Fund Balance,11002460,11775271,15417992,13166936,13455082
Mid Coast Hospital,Total Liabilities,,,,,
Mid Coast Hospital,Temporarily Restricted Net Assets,6236694,6926070,8297950,5877062,6101568
Mid Coast Hospital,Permanently Restricted Net Assets,4765766,4849201,7120042,7289874,7353514
Mid Coast Hospital,Total Gross Patient Service Revenue,,133725650,143749268,150905832,167032601
Mid Coast Hospital,Gross Inpatient Service Revenue,52666003,55965638,58009306,61865277,66447197
Mid Coast Hospital,Gross Outpatient Service Revenue,81059647,87783630,92896526,105167324,119909351
Mid Coast Hospital,Free Care,,,1110032,2097890,1803287
Mid Coast Hospital,Bad Debt,,,,,1952709
Mid Coast Hospital,Contractuals,58765697,59554974,63217074,71991307,80601831
Mid Coast Hospital,Changes in Prior Year Estimated/Final Settlements,-269000,,-2600000,-2450000,-478000
Mid Coast Hospital,Net Patient Service Revenue,72166212,79414507,85943784,91558877,99835233
Mid Coast Hospital,Other Operating Revenue,2131898,1977515,2194886,2852351,3092940
Mid Coast Hospital,Total Operating Revenue,74298110,81392022,88138670,94411228,102928173
Mid Coast Hospital,Total Operating Expenses,70148970,75234871,84555302,93448995,99751716
Mid Coast Hospital,Depreciation and Amortization,4045744,4139615,3850553,4235252,4736591
Mid Coast Hospital,Interest,1919208,1753653,1516745,1240523,894589
Mid Coast Hospital,Other Operating Expenses,64184018,69341603,79188004,87973220,94120536
Mid Coast Hospital,Net Operating Income,4149140,6157151,3583368,962233,3176457
Mid Coast Hospital,Total Non-operating Revenue,1192090,2525516,2685057,2181840,1087272
Mid Coast Hospital,Total Investment Income,1043199,2059436,2580617,2112557,1024528
Mid Coast Hospital,Interest and Dividends,1030979,1923160,2556314,1996360,1215554
Mid Coast Hospital,Realized Gains/Losses on Sales of Securities,12220,136276,24303,116197,-191026
Mid Coast Hospital,Permanently Impaired Security Writedowns,,,,,
Mid Coast Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Mid Coast Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Mid Coast Hospital,Other Non-Operating Revenues,,,,148891,466080
Mid Coast Hospital,Excess of Revenue over Expenses,5341230,8682667,6268425,3144073,4263729
Mid Coast Hospital,Extraordinary Gains/Losses,,,-1627899,-747899,-68488
Mid Coast Hospital,Total Surplus/Deficit,5341230,8682667,4640526,2396174,4195241
Mid Coast Hospital,Total Change in Unrestricted Net Assets,5828570,8834123,5197220,133304,4087920
Mid Coast Hospital,Net Assets Released for Restrictions,,,60839,,150368
Mid Coast Hospital,Unrealized Gains/Losses on Investments,426501,151456,656326,-1652006,488667
Mid Coast Hospital,Minimum Pension Liability Adjustment,,,,,
Mid Coast Hospital,Transfers From/To Affiliates,,,-250000,-700000,-750000
Mid Coast Hospital,Mergers,,,,,
Mid Coast Hospital,Consolidations with Support,,,,,
Mid Coast Hospital,Other Changes,,,,,63290
Miles Memorial Hospital,Total Current Assets,7352067,13130491,30417759,12819525,11930037
Miles Memorial Hospital,Cash and Investment,253150,2394493,1575174,3090524,4537726
Miles Memorial Hospital,Current Assets Whose Use is Limited,148802,152212,153146,149123,145802
Miles Memorial Hospital,Net Patient Accounts Receivable,5600310,6631026,7232164,8314727,5722120
Miles Memorial Hospital,Due from Affiliates,240581,803561,20299928,138405,203149
Miles Memorial Hospital,Third Party Settlements Receivable,249000,2206277,,,
Miles Memorial Hospital,Other Accounts Receivable,,,,,
Miles Memorial Hospital,Inventory,,709619,333356,881152,947580
Miles Memorial Hospital,Other Current Assets,860224,233303,823991,245594,373660
Miles Memorial Hospital,Total Non-Current Assets,19444376,18944296,18576261,19481346,23375853
Miles Memorial Hospital,Trustee Held Investments,,,,,
Miles Memorial Hospital,Board Designated and Undesignated Investments,1242885,1293667,1498490,980606,2323542
Miles Memorial Hospital,Due From Affiliates,,,,,
Miles Memorial Hospital,Investments in Affiliates,,,,,
Miles Memorial Hospital,Other Non-current Assets,369138,423193,454844,2009977,2135517
Miles Memorial Hospital,"Gross Property, Plant and Equipment",,35701232,36636486,37447895,38522358
Miles Memorial Hospital,Accumulated Depreciation,17868879,19409050,20824968,22031595,25676938
Miles Memorial Hospital,"Net Property, Plant and Equipment",,17832353,17227436,16622927,16490763
Miles Memorial Hospital,Total Unrestricted Assets,26796443,32074787,48994020,32300871,35305890
Miles Memorial Hospital,Total Current Liabilities,5814317,8758767,25539006,8432505,12790220
Miles Memorial Hospital,Current Long Term Debt,,329512,352471,367475,423413
Miles Memorial Hospital,Accounts Payable and Accrued Expenses,1848075,2055075,2304546,2402987,3268061
Miles Memorial Hospital,Estimated Third Party Settlements,,2984780,1065429,769169,1127806
Miles Memorial Hospital,Due to Affiliates,3636730,3366441,21801556,4836936,7821449
Miles Memorial Hospital,Other Current Liabilities,,,,,111699
Miles Memorial Hospital,Total Non-current Liabilities,7189606,6926405,6624593,6397783,5928559
Miles Memorial Hospital,Long Term Debt,7006876,6670295,6344483,6125753,5662349
Miles Memorial Hospital,Estimated Third Party Settlements,,,,,
Miles Memorial Hospital,Due to Affiliates,,,,,
Miles Memorial Hospital,Self Insurance Fund,,,,,
Miles Memorial Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Miles Memorial Hospital,Other Non-Current Liabilities,182730,256110,280110,272030,266210
Miles Memorial Hospital,Fund Balance Unrestricted,13792520,16389615,16830421,17470583,16587111
Miles Memorial Hospital,Total Liabilities & Equity,26796443,32074787,48994020,32300871,35305890
Miles Memorial Hospital,Total Restricted Assets,4798923,4733127,4956526,4262495,3905885
Miles Memorial Hospital,Cash and Investments,4374721,4485691,4941901,4259210,3902334
Miles Memorial Hospital,Receivables,424202,247436,14625,3285,3551
Miles Memorial Hospital,Other Assets,,,,,
Miles Memorial Hospital,Total Restricted Liabilities and Equity,4798923,4733127,4956526,4262495,3905885
Miles Memorial Hospital,Total Restricted Fund Balance,4798923,4733127,4956526,4262495,3905885
Miles Memorial Hospital,Total Liabilities,,,,,
Miles Memorial Hospital,Temporarily Restricted Net Assets,588547,332182,139871,108857,39231
Miles Memorial Hospital,Permanently Restricted Net Assets,4210376,4400945,4816655,4153638,3866654
Miles Memorial Hospital,Total Gross Patient Service Revenue,,76218834,86884742,93201572,95904047
Miles Memorial Hospital,Gross Inpatient Service Revenue,29785308,33254000,36327709,36759021,36312201
Miles Memorial Hospital,Gross Outpatient Service Revenue,46433526,53630742,56873863,59145026,60079634
Miles Memorial Hospital,Free Care,,,753395,1130609,1421209
Miles Memorial Hospital,Bad Debt,,,,,2314277
Miles Memorial Hospital,Contractuals,34528286,38056137,41279322,40277121,42692764
Miles Memorial Hospital,Changes in Prior Year Estimated/Final Settlements,-500000,700000,1000000,,
Miles Memorial Hospital,Net Patient Service Revenue,39122876,43556576,47045207,50478106,48224007
Miles Memorial Hospital,Other Operating Revenue,882127,1592119,1129136,652349,698201
Miles Memorial Hospital,Total Operating Revenue,40005003,45148695,48174343,51130455,48922208
Miles Memorial Hospital,Total Operating Expenses,39106471,43015440,48718718,50308384,49103521
Miles Memorial Hospital,Depreciation and Amortization,1335677,1551077,1644981,1732894,1955173
Miles Memorial Hospital,Interest,357931,361974,333215,332058,348435
Miles Memorial Hospital,Other Operating Expenses,37412863,41102389,46740522,48243432,46799913
Miles Memorial Hospital,Net Operating Income,898532,2133255,-544375,822071,-181313
Miles Memorial Hospital,Total Non-operating Revenue,199205,137379,533146,685742,-641034
Miles Memorial Hospital,Total Investment Income,,62549,83238,615122,-714258
Miles Memorial Hospital,Interest and Dividends,,,,69470,93449
Miles Memorial Hospital,Realized Gains/Losses on Sales of Securities,,62549,83238,545652,-807707
Miles Memorial Hospital,Permanently Impaired Security Writedowns,,,,,
Miles Memorial Hospital,Gains/Losses on Joint Ventures/Equity Investments,78489,,,,
Miles Memorial Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Miles Memorial Hospital,Other Non-Operating Revenues,,,,120716,74830
Miles Memorial Hospital,Excess of Revenue over Expenses,1097737,2270634,-11229,1507813,-822347
Miles Memorial Hospital,Extraordinary Gains/Losses,1097737,,,,
Miles Memorial Hospital,Total Surplus/Deficit,2195474,2270634,-11229,1507813,-822347
Miles Memorial Hospital,Total Change in Unrestricted Net Assets,7040565,2597095,440806,640163,-883472
Miles Memorial Hospital,Net Assets Released for Restrictions,,,712538,419606,224439
Miles Memorial Hospital,Unrealized Gains/Losses on Investments,10864,-26101,176627,-1137058,910509
Miles Memorial Hospital,Minimum Pension Liability Adjustment,,,,,
Miles Memorial Hospital,Transfers From/To Affiliates,4121689,6306,50969,194694,-1132553
Miles Memorial Hospital,Mergers,,,,,
Miles Memorial Hospital,Consolidations with Support,,,,,
Miles Memorial Hospital,Other Changes,,-73350,,,
Millinocket Regional Hospital,Total Current Assets,2720808,3223537,3784022,4475806,8069654
Millinocket Regional Hospital,Cash and Investment,142932,125635,605863,1035138,3610946
Millinocket Regional Hospital,Current Assets Whose Use is Limited,,,,,
Millinocket Regional Hospital,Net Patient Accounts Receivable,1739517,2291653,2304278,2388150,2599448
Millinocket Regional Hospital,Due from Affiliates,258449,121494,82724,74055,
Millinocket Regional Hospital,Third Party Settlements Receivable,-8746,-7933,-7933,16820,126108
Millinocket Regional Hospital,Other Accounts Receivable,77209,83656,126345,168266,305293
Millinocket Regional Hospital,Inventory,348532,367799,357400,402786,438082
Millinocket Regional Hospital,Other Current Assets,162915,241233,315345,390591,989777
Millinocket Regional Hospital,Total Non-Current Assets,12059518,11662206,11778706,12247922,10323616
Millinocket Regional Hospital,Trustee Held Investments,154000,154000,154000,221896,221896
Millinocket Regional Hospital,Board Designated and Undesignated Investments,7181220,7006116,6353793,6380751,5678557
Millinocket Regional Hospital,Due From Affiliates,997433,1047159,1056014,1683843,1720542
Millinocket Regional Hospital,Investments in Affiliates,114478,102197,89440,24035,58543
Millinocket Regional Hospital,Other Non-current Assets,46362,43856,41350,38844,36338
Millinocket Regional Hospital,"Gross Property, Plant and Equipment",,16248435,15466668,15895130,15695435
Millinocket Regional Hospital,Accumulated Depreciation,12682410,12157790,11811021,11796882,11592200
Millinocket Regional Hospital,"Net Property, Plant and Equipment",,3566025,3308878,4084109,3898553
Millinocket Regional Hospital,Total Unrestricted Assets,14780326,14885743,15562728,16723728,18393270
Millinocket Regional Hospital,Total Current Liabilities,2124170,1897993,1129973,1221375,3359070
Millinocket Regional Hospital,Current Long Term Debt,,129988,112983,113352,134715
Millinocket Regional Hospital,Accounts Payable and Accrued Expenses,1693922,2238920,1982096,1928427,2025477
Millinocket Regional Hospital,Estimated Third Party Settlements,-2048737,-2586941,-1304672,-1161325,931525
Millinocket Regional Hospital,Due to Affiliates,,,,,
Millinocket Regional Hospital,Other Current Liabilities,2348997,2133031,339197,319558,256696
Millinocket Regional Hospital,Total Non-current Liabilities,3127937,2923305,2718307,3624196,3413840
Millinocket Regional Hospital,Long Term Debt,3127937,2923305,2718307,3624196,3413840
Millinocket Regional Hospital,Estimated Third Party Settlements,,,,,
Millinocket Regional Hospital,Due to Affiliates,,,,,
Millinocket Regional Hospital,Self Insurance Fund,,,,,
Millinocket Regional Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Millinocket Regional Hospital,Other Non-Current Liabilities,,,,,
Millinocket Regional Hospital,Fund Balance Unrestricted,9528219,10064445,11714448,11878157,11620360
Millinocket Regional Hospital,Total Liabilities & Equity,14780326,14885743,15562728,16723728,18393270
Millinocket Regional Hospital,Total Restricted Assets,102511,108517,148957,136911,241563
Millinocket Regional Hospital,Cash and Investments,55578,69605,74294,84400,105107
Millinocket Regional Hospital,Receivables,46933,38912,74663,52511,136456
Millinocket Regional Hospital,Other Assets,,,,,
Millinocket Regional Hospital,Total Restricted Liabilities and Equity,102511,108522,148956,136911,241563
Millinocket Regional Hospital,Total Restricted Fund Balance,83662,85739,101938,95010,104862
Millinocket Regional Hospital,Total Liabilities,18849,22783,47018,41901,136701
Millinocket Regional Hospital,Temporarily Restricted Net Assets,78662,80739,96938,90010,99862
Millinocket Regional Hospital,Permanently Restricted Net Assets,5000,5000,5000,5000,5000
Millinocket Regional Hospital,Total Gross Patient Service Revenue,,31174293,34905416,37889779,38897488
Millinocket Regional Hospital,Gross Inpatient Service Revenue,8541243,9222303,10581547,10672393,12239663
Millinocket Regional Hospital,Gross Outpatient Service Revenue,22633050,25683113,27308232,28225095,29199207
Millinocket Regional Hospital,Free Care,,,879054,835735,951063
Millinocket Regional Hospital,Bad Debt,,,,,346556
Millinocket Regional Hospital,Contractuals,10624354,12113150,13137678,13158210,14078172
Millinocket Regional Hospital,Changes in Prior Year Estimated/Final Settlements,-123077,-124551,-713000,-398000,-455000
Millinocket Regional Hospital,Net Patient Service Revenue,19447406,21707545,23827254,24361293,25905584
Millinocket Regional Hospital,Other Operating Revenue,671491,649091,453069,346359,271095
Millinocket Regional Hospital,Total Operating Revenue,20118897,22356636,24280323,24707652,26176679
Millinocket Regional Hospital,Total Operating Expenses,20170013,22177479,23456879,24340426,25495189
Millinocket Regional Hospital,Depreciation and Amortization,682402,588254,559701,581139,601216
Millinocket Regional Hospital,Interest,178277,182818,142702,176430,176016
Millinocket Regional Hospital,Other Operating Expenses,19309334,21406407,22754476,23582857,24717957
Millinocket Regional Hospital,Net Operating Income,-51116,179157,823444,367226,681490
Millinocket Regional Hospital,Total Non-operating Revenue,254048,568669,558002,513840,-310165
Millinocket Regional Hospital,Total Investment Income,312015,528822,558279,619620,-299416
Millinocket Regional Hospital,Interest and Dividends,146514,201844,209666,241843,167265
Millinocket Regional Hospital,Realized Gains/Losses on Sales of Securities,165501,326978,348613,377777,-466681
Millinocket Regional Hospital,Permanently Impaired Security Writedowns,,,,,
Millinocket Regional Hospital,Gains/Losses on Joint Ventures/Equity Investments,-61712,37451,-3902,-112457,-11445
Millinocket Regional Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Millinocket Regional Hospital,Other Non-Operating Revenues,,,,3745,2396
Millinocket Regional Hospital,Excess of Revenue over Expenses,202932,747826,1381446,881066,371325
Millinocket Regional Hospital,Extraordinary Gains/Losses,,,,,
Millinocket Regional Hospital,Total Surplus/Deficit,202932,747826,1381446,881066,371325
Millinocket Regional Hospital,Total Change in Unrestricted Net Assets,322965,536225,1650000,163708,-257796
Millinocket Regional Hospital,Net Assets Released for Restrictions,,,,,
Millinocket Regional Hospital,Unrealized Gains/Losses on Investments,120033,-211601,268554,-717358,-761909
Millinocket Regional Hospital,Minimum Pension Liability Adjustment,,,,,
Millinocket Regional Hospital,Transfers From/To Affiliates,,,,,
Millinocket Regional Hospital,Mergers,,,,,
Millinocket Regional Hospital,Consolidations with Support,,,,,
Millinocket Regional Hospital,Other Changes,,,,,
Mount Desert Island Hospital,Total Current Assets,5484598,6442170,6422624,6895083,7814724
Mount Desert Island Hospital,Cash and Investment,23558,47817,74951,90253,98632
Mount Desert Island Hospital,Current Assets Whose Use is Limited,77265,204152,594184,2954787,1371767
Mount Desert Island Hospital,Net Patient Accounts Receivable,2425671,2345812,2929128,3025815,4386454
Mount Desert Island Hospital,Due from Affiliates,,,,,
Mount Desert Island Hospital,Third Party Settlements Receivable,2363210,2899576,1962372,,1289756
Mount Desert Island Hospital,Other Accounts Receivable,70180,118673,,,
Mount Desert Island Hospital,Inventory,463668,547456,654086,701406,578267
Mount Desert Island Hospital,Other Current Assets,61046,278684,207903,122822,89848
Mount Desert Island Hospital,Total Non-Current Assets,18402726,15802249,17705217,28491578,26731599
Mount Desert Island Hospital,Trustee Held Investments,,,,,
Mount Desert Island Hospital,Board Designated and Undesignated Investments,5051994,5569054,6210448,5487827,5049580
Mount Desert Island Hospital,Due From Affiliates,4330955,653911,1151130,2334022,2944522
Mount Desert Island Hospital,Investments in Affiliates,,,,,
Mount Desert Island Hospital,Other Non-current Assets,47757,476348,695681,5110765,1876579
Mount Desert Island Hospital,"Gross Property, Plant and Equipment",,23025123,24641695,26588544,33732280
Mount Desert Island Hospital,Accumulated Depreciation,14053103,15538759,16940586,18173316,19815469
Mount Desert Island Hospital,"Net Property, Plant and Equipment",,8972020,9102936,9647958,15558964
Mount Desert Island Hospital,Total Unrestricted Assets,23887324,22244419,24127841,35386661,34546323
Mount Desert Island Hospital,Total Current Liabilities,5896590,7743963,7160124,10874999,10315130
Mount Desert Island Hospital,Current Long Term Debt,,607066,748508,395786,743675
Mount Desert Island Hospital,Accounts Payable and Accrued Expenses,5289524,4246664,4176725,4919826,5076781
Mount Desert Island Hospital,Estimated Third Party Settlements,,,,590099,
Mount Desert Island Hospital,Due to Affiliates,,,,,
Mount Desert Island Hospital,Other Current Liabilities,,2748791,2587613,4621399,4376041
Mount Desert Island Hospital,Total Non-current Liabilities,2685109,2655246,3452445,9820635,8948866
Mount Desert Island Hospital,Long Term Debt,2685109,2220776,2815511,8723439,7860216
Mount Desert Island Hospital,Estimated Third Party Settlements,,,,,
Mount Desert Island Hospital,Due to Affiliates,,,,309807,309807
Mount Desert Island Hospital,Self Insurance Fund,,,,,
Mount Desert Island Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Mount Desert Island Hospital,Other Non-Current Liabilities,,434470,636934,787389,778843
Mount Desert Island Hospital,Fund Balance Unrestricted,15305625,11845210,13515272,14691027,15282327
Mount Desert Island Hospital,Total Liabilities & Equity,23887324,22244419,24127841,35386661,34546323
Mount Desert Island Hospital,Total Restricted Assets,4390676,5408671,5111965,3270172,3350996
Mount Desert Island Hospital,Cash and Investments,3444667,4582988,4721679,3035353,2709013
Mount Desert Island Hospital,Receivables,946009,825683,390286,234819,641983
Mount Desert Island Hospital,Other Assets,,,,,
Mount Desert Island Hospital,Total Restricted Liabilities and Equity,4390676,5408671,5111965,3270172,3350996
Mount Desert Island Hospital,Total Restricted Fund Balance,4390676,5408671,5111965,3270172,3350996
Mount Desert Island Hospital,Total Liabilities,,,,,
Mount Desert Island Hospital,Temporarily Restricted Net Assets,2458958,3323140,2959929,1169075,1693522
Mount Desert Island Hospital,Permanently Restricted Net Assets,1931718,2085531,2152036,2101097,1657474
Mount Desert Island Hospital,Total Gross Patient Service Revenue,,39273340,41868465,45809561,46700157
Mount Desert Island Hospital,Gross Inpatient Service Revenue,10814155,9980305,9985154,10671954,12638871
Mount Desert Island Hospital,Gross Outpatient Service Revenue,28459185,31888160,35824407,36028203,41789812
Mount Desert Island Hospital,Free Care,,,733205,400286,302421
Mount Desert Island Hospital,Bad Debt,,,,,1063875
Mount Desert Island Hospital,Contractuals,9623996,9796603,9417208,9994165,11717000
Mount Desert Island Hospital,Changes in Prior Year Estimated/Final Settlements,,,,-923000,-753000
Mount Desert Island Hospital,Net Patient Service Revenue,27852264,30134374,34558049,35241275,40287025
Mount Desert Island Hospital,Other Operating Revenue,876890,598122,899507,665505,418778
Mount Desert Island Hospital,Total Operating Revenue,28729154,30732496,35457556,35906780,40705803
Mount Desert Island Hospital,Total Operating Expenses,29426063,31951415,35310178,38145019,41085324
Mount Desert Island Hospital,Depreciation and Amortization,1515696,1507361,1411608,1560418,1751767
Mount Desert Island Hospital,Interest,262394,299209,392767,448358,558336
Mount Desert Island Hospital,Other Operating Expenses,27647973,30144845,33505803,36136243,38775221
Mount Desert Island Hospital,Net Operating Income,-696909,-1218919,147378,-2238239,-379521
Mount Desert Island Hospital,Total Non-operating Revenue,422364,1130713,1153554,1764625,386909
Mount Desert Island Hospital,Total Investment Income,347524,693757,528785,314607,165273
Mount Desert Island Hospital,Interest and Dividends,121131,168149,311873,288900,165273
Mount Desert Island Hospital,Realized Gains/Losses on Sales of Securities,226393,525608,216912,25707,
Mount Desert Island Hospital,Permanently Impaired Security Writedowns,,,,,
Mount Desert Island Hospital,Gains/Losses on Joint Ventures/Equity Investments,-196859,,,,
Mount Desert Island Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Mount Desert Island Hospital,Other Non-Operating Revenues,,,,271699,436956
Mount Desert Island Hospital,Excess of Revenue over Expenses,-274545,-88206,1300932,-473614,7388
Mount Desert Island Hospital,Extraordinary Gains/Losses,,,,,
Mount Desert Island Hospital,Total Surplus/Deficit,-274545,-88206,1300932,-473614,7388
Mount Desert Island Hospital,Total Change in Unrestricted Net Assets,-168149,-3460415,1670061,1175755,591300
Mount Desert Island Hospital,Net Assets Released for Restrictions,,,,808621,198867
Mount Desert Island Hospital,Unrealized Gains/Losses on Investments,106396,150124,170262,-297605,-883428
Mount Desert Island Hospital,Minimum Pension Liability Adjustment,,,,,
Mount Desert Island Hospital,Transfers From/To Affiliates,,-4330954,,,
Mount Desert Island Hospital,Mergers,,,,,
Mount Desert Island Hospital,Consolidations with Support,,,,,
Mount Desert Island Hospital,Other Changes,,,,,
New England Rehabilitation Hospital,Total Current Assets,2964271,5999159,16310927,10624486,8464710
New England Rehabilitation Hospital,Cash and Investment,-441526,1834891,12247682,6164955,5464573
New England Rehabilitation Hospital,Current Assets Whose Use is Limited,,,,,
New England Rehabilitation Hospital,Net Patient Accounts Receivable,3267215,4033147,3114656,3621324,2554862
New England Rehabilitation Hospital,Due from Affiliates,,,,,
New England Rehabilitation Hospital,Third Party Settlements Receivable,,,805955,693794,267807
New England Rehabilitation Hospital,Other Accounts Receivable,,,,,
New England Rehabilitation Hospital,Inventory,84724,84494,86531,93049,90912
New England Rehabilitation Hospital,Other Current Assets,53858,46627,56103,51364,86556
New England Rehabilitation Hospital,Total Non-Current Assets,15014944,13811421,11916058,11396176,10983506
New England Rehabilitation Hospital,Trustee Held Investments,,,,,
New England Rehabilitation Hospital,Board Designated and Undesignated Investments,,,,,
New England Rehabilitation Hospital,Due From Affiliates,,,,,
New England Rehabilitation Hospital,Investments in Affiliates,,,,,
New England Rehabilitation Hospital,Other Non-current Assets,1282792,1288612,,,
New England Rehabilitation Hospital,"Gross Property, Plant and Equipment",,16227294,15676601,15672879,16008580
New England Rehabilitation Hospital,Accumulated Depreciation,2495142,3153792,3756821,4612404,5490133
New England Rehabilitation Hospital,"Net Property, Plant and Equipment",,13732152,12522809,11916058,11396176
New England Rehabilitation Hospital,Total Unrestricted Assets,17979215,19810580,28226985,22020662,19448216
New England Rehabilitation Hospital,Total Current Liabilities,1217383,1516014,2329163,3179575,4685903
New England Rehabilitation Hospital,Current Long Term Debt,,,,405844,437785
New England Rehabilitation Hospital,Accounts Payable and Accrued Expenses,938861,1022931,1710156,1722697,1275411
New England Rehabilitation Hospital,Estimated Third Party Settlements,,,,,
New England Rehabilitation Hospital,Due to Affiliates,,,,,133661
New England Rehabilitation Hospital,Other Current Liabilities,278522,493083,213163,1019093,2804590
New England Rehabilitation Hospital,Total Non-current Liabilities,14173915,13197226,15678242,12195530,10857550
New England Rehabilitation Hospital,Long Term Debt,14173915,12160480,11767576,11329791,10857550
New England Rehabilitation Hospital,Estimated Third Party Settlements,,,,,
New England Rehabilitation Hospital,Due to Affiliates,,,3910666,865739,
New England Rehabilitation Hospital,Self Insurance Fund,,,,,
New England Rehabilitation Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
New England Rehabilitation Hospital,Other Non-Current Liabilities,,1036746,,,
New England Rehabilitation Hospital,Fund Balance Unrestricted,2587917,5097339,10219580,6645557,3904763
New England Rehabilitation Hospital,Total Liabilities & Equity,17979215,19810579,28226985,22020662,19448216
New England Rehabilitation Hospital,Total Restricted Assets,,,,,
New England Rehabilitation Hospital,Cash and Investments,,,,,
New England Rehabilitation Hospital,Receivables,,,,,
New England Rehabilitation Hospital,Other Assets,,,,,
