Hospital,Measure,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Northern Light Acadia Hospital,Interest,55948,-967,1035,-14068,1533880
Northern Light Acadia Hospital,Advertising Expenses,44638,100381,73731,38947,15713
Northern Light Acadia Hospital,Allowed Advertising Expenses,,11340,4441,7862,12618
Northern Light Acadia Hospital,Non-Allowed Advertising Expenses,44638,89041,69290,31085,3095
Northern Light Acadia Hospital,Salaries and Benefits,41235174,42230395,43538031,45755238,49758481
Northern Light Acadia Hospital,Other Operating Expenses,14018362,16561704,21582592,20938256,22141546
Northern Light Acadia Hospital,Net Operating Income,6592016,7159662,4290530,1848227,11638030
Northern Light Acadia Hospital,Total Non-Operating Revenue,-62267,-68648,-51967,-671594,-106800
Northern Light Acadia Hospital,Total Investment Income,-107767,-68648,-51967,-671594,-106800
Northern Light Acadia Hospital,Interest and Dividends,-107767,-68648,-51967,-671594,-106800
Northern Light Acadia Hospital,Realized Gains/Losses on Sales of Securities,,,,,
Northern Light Acadia Hospital,Permanently Impaired Security Write Downs,,,,,
Northern Light Acadia Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Northern Light Acadia Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Northern Light Acadia Hospital,"Other Non Operating Revenues (Gifts, Bequests,",45500,,,,
Northern Light Acadia Hospital,Excess of Revenue Over Expenses,6529749,7091014,4238563,1176633,11531230
Northern Light Acadia Hospital,Extraordinary Gains/Losses,,,,,
Northern Light Acadia Hospital,Total Surplus/Deficit,6529749,7091014,4238563,1176633,11531230
Northern Light Acadia Hospital,Total Change in Unrestricted Net Assets,4523412,8750279,5507910,2194825,13226900
Northern Light Acadia Hospital,Net Assets Released for Restrictions - Capital,-1697,,,,1838147
Northern Light Acadia Hospital,Unrealized Gains/Losses on Investments,,,,,
Northern Light Acadia Hospital,Minimum Pension Liability Adjustment,-2004599,1656434,1271623,1016710,-144805
Northern Light Acadia Hospital,Transfers from/To Affiliates,-500,4366,4377,-235,
Northern Light Acadia Hospital,Mergers,,,,,
Northern Light Acadia Hospital,Consolidations with Support Organizations,,,,,
Northern Light Acadia Hospital,Other Changes,459,-1535,-6653,1717,2328
Northern Light Blue Hill Hospital,Total Current Assets,24842159,32704421,38975563,46485468,42183028
Northern Light Blue Hill Hospital,Cash and Investments,20127042,25096969,30259851,32270271,30054241
Northern Light Blue Hill Hospital,Current Assets Whose Use is Limited,35759,22138,15193,6962978,2198716
Northern Light Blue Hill Hospital,Net Patient Accounts Receivable,2324500,4771126,6505797,5262902,7757236
Northern Light Blue Hill Hospital,Due From Affiliates,118607,1208942,80423,64799,1310
Northern Light Blue Hill Hospital,Third Party Settlements,1473062,596736,1384014,1484143,1737198
Northern Light Blue Hill Hospital,Other Accounts Receivable,539595,646667,471701,203021,158498
Northern Light Blue Hill Hospital,Inventory,209290,296850,249931,228506,266981
Northern Light Blue Hill Hospital,Other Current Assets,14304,64993,8653,8848,8848
Northern Light Blue Hill Hospital,Total Non-Current Assets,6412173,6729396,10587493,25832322,29186087
Northern Light Blue Hill Hospital,Trustee Held Investments,,,,,
Northern Light Blue Hill Hospital,Board Designated & Undesignated Investments,305340,413520,371855,441125,503547
Northern Light Blue Hill Hospital,Due from Affiliates,,,,,
Northern Light Blue Hill Hospital,Investment in Affiliates,,,,,
Northern Light Blue Hill Hospital,Other Non-Current Assets,34030,27412,25675,25675,25675
Northern Light Blue Hill Hospital,"Gross Property, Plant and Equipment (PP&E)",29301117,29680443,34266731,48175741,53039915
Northern Light Blue Hill Hospital,Accumulated Deprecation,23228314,23391979,24076768,22810219,24383050
Northern Light Blue Hill Hospital,"Net Property, Plant and Equipment (PP&E)",6072803,6288464,10189963,25365522,28656865
Northern Light Blue Hill Hospital,Total Unrestricted Assets,31254332,39433817,49563056,72317790,71369115
Northern Light Blue Hill Hospital,Total Current Liabilities,8312905,14938989,15022602,15483277,13102685
Northern Light Blue Hill Hospital,Current Long Term Debt (LTD),28359,94367,73088,603204,636788
Northern Light Blue Hill Hospital,Accounts Payable Plus Accrued Expenses,3409544,3235782,4316298,7803275,5397343
Northern Light Blue Hill Hospital,Estimated Third Party Settlements,1092031,7182872,8140666,3378555,1877310
Northern Light Blue Hill Hospital,Due to Affiliates,2256106,213570,2112688,3698243,2614844
Northern Light Blue Hill Hospital,Other Current Liabilities,1526865,4212398,379862,,2576400
Northern Light Blue Hill Hospital,Total Non-Current Liabilities,10796896,6180252,8591613,25783676,24715217
Northern Light Blue Hill Hospital,Long Term Debt (LTD),1951909,2146594,2073522,21720253,21138451
Northern Light Blue Hill Hospital,Estimated Third Party Settlements,,,,,
Northern Light Blue Hill Hospital,Northern,,,,,
Northern Light Blue Hill Hospital,Due to Affiliate,,,,,
Northern Light Blue Hill Hospital,Self Insurance Fund,,,,,
Northern Light Blue Hill Hospital,Accrued Pension and Post Retiree Health Benefits,4264391,4033658,4138061,4063423,3576766
Northern Light Blue Hill Hospital,Other Non-Current Liabilities,4580596,,2380030,,
Northern Light Blue Hill Hospital,Fund Balance Unrestricted,12144531,18314576,25948841,31050837,33551213
Northern Light Blue Hill Hospital,Total Liabilities and Equity,31254332,39433817,49563056,72317790,71369115
Northern Light Blue Hill Hospital,Total Restricted Assets,2763660,7762541,8257585,6289314,6661196
Northern Light Blue Hill Hospital,Cash and Investments,2763660,7762541,8257585,6289314,6661196
Northern Light Blue Hill Hospital,Receivables,,,,,
Northern Light Blue Hill Hospital,Other Assets,,,,,
Northern Light Blue Hill Hospital,Total Restricted Liabilities and Equity,2763660,7762541,8257585,6289314,6661197
Northern Light Blue Hill Hospital,Total Restricted Fund Balance,2763660,7762541,8257585,6289314,6661197
Northern Light Blue Hill Hospital,Total Liabilities,,,,,
Northern Light Blue Hill Hospital,Temporarily Restricted Net Assets,790592,5594325,6387141,4336527,4524071
Northern Light Blue Hill Hospital,Permanently Restricted Net Assets,1973068,2168216,1870444,1952787,2137126
Northern Light Blue Hill Hospital,Total Gross Patient Service Revenue,50278914,64341791,68706606,75751232,78906613
Northern Light Blue Hill Hospital,Gross Inpatient Service Revenue,5460617,7352108,7592968,9835677,10695191
Northern Light Blue Hill Hospital,Gross Outpatient Service Revenue,44818297,56989683,61113638,65915555,68211422
Northern Light Blue Hill Hospital,Free Care (Charity Care),175461,286924,195635,88027,63872
Northern Light Blue Hill Hospital,Bad Debt (Provision for Bad Debt),2272040,763260,838152,1788287,1267252
Northern Light Blue Hill Hospital,Contractuals,16709580,24517874,25251232,32077252,36789149
Northern Light Blue Hill Hospital,Changes in Prior Year Estimated/Final Settlements,-422265,-1906735,-538538,91218,-356218
Northern Light Blue Hill Hospital,Net Patient Service Revenue,31544098,40680468,42960125,41706448,41142558
Northern Light Blue Hill Hospital,Other Operating Revenue,8818202,4529933,4221646,2139764,2340552
Northern Light Blue Hill Hospital,Total Operating Revenue,40362300,45210401,47181771,43846212,43483110
Northern Light Blue Hill Hospital,Total Operating Expenses,37510981,39222641,39678909,42077720,41085430
Northern Light Blue Hill Hospital,Deprecation and Amoritization,701083,709396,684789,854778,1707931
Northern Light Blue Hill Hospital,Interest,78827,92041,90024,105259,191556
Northern Light Blue Hill Hospital,Advertising Expenses,75052,102296,136598,99112,42147
Northern Light Blue Hill Hospital,Allowed Advertising Expenses,,,,,
Northern Light Blue Hill Hospital,Northern,,,,,
Northern Light Blue Hill Hospital,Non-Allowed Advertising Expenses,75052,102296,136598,99112,42147
Northern Light Blue Hill Hospital,Salaries and Benefits,19450914,20531037,19456559,19546909,18914413
Northern Light Blue Hill Hospital,Other Operating Expenses,17205105,17787871,19310939,21471662,20229383
Northern Light Blue Hill Hospital,Net Operating Income,2851319,5987760,7502862,1768492,2397680
Northern Light Blue Hill Hospital,Total Non-Operating Revenue,-9701,-2824,-2118,-214855,-16240
Northern Light Blue Hill Hospital,Total Investment Income,8058,1133,936,4049,2585
Northern Light Blue Hill Hospital,Interest and Dividends,8058,1133,936,4049,2585
Northern Light Blue Hill Hospital,Realized Gains/Losses on Sales of Securities,,,,,
Northern Light Blue Hill Hospital,Permanently Impaired Security Write Downs,,,,,
Northern Light Blue Hill Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Northern Light Blue Hill Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Northern Light Blue Hill Hospital,"Other Non Operating Revenues (Gifts, Bequests,",-17759,-3957,-3054,-218904,-18825
Northern Light Blue Hill Hospital,Excess of Revenue Over Expenses,2841618,5984936,7500744,1553637,2381440
Northern Light Blue Hill Hospital,Extraordinary Gains/Losses,,,,,
Northern Light Blue Hill Hospital,Total Surplus/Deficit,2841618,5984936,7500744,1553637,2381440
Northern Light Blue Hill Hospital,Total Change in Unrestricted Net Assets,2290708,6170045,7634265,5101996,2500376
Northern Light Blue Hill Hospital,Net Assets Released for Restrictions - Capital,21618,99476,61131,3350664,73582
Northern Light Blue Hill Hospital,Unrealized Gains/Losses on Investments,44,559,-445,5017,644
Northern Light Blue Hill Hospital,Minimum Pension Liability Adjustment,-572572,85074,72835,197439,44710
Northern Light Blue Hill Hospital,Transfers from/To Affiliates,,,,-4761,
Northern Light Blue Hill Hospital,Mergers,,,,,
Northern Light Blue Hill Hospital,Consolidations with Support Organizations,,,,,
Northern Light Blue Hill Hospital,Other Changes,,,,,
Northern Light C.A. Dean Hospital,Total Current Assets,16407075,16565442,15951271,19451117,11757220
Northern Light C.A. Dean Hospital,Cash and Investments,12832213,12453762,9972136,10582806,6918347
Northern Light C.A. Dean Hospital,Current Assets Whose Use is Limited,14356,13313,9758,4342281,287134
Northern Light C.A. Dean Hospital,Net Patient Accounts Receivable,1633232,2298610,2824090,3048184,3576288
Northern Light C.A. Dean Hospital,Due From Affiliates,,,16924,19450,
Northern Light C.A. Dean Hospital,Third Party Settlements,1632090,1421887,2681651,1111516,494516
Northern Light C.A. Dean Hospital,Other Accounts Receivable,206954,278585,335782,193331,252140
Northern Light C.A. Dean Hospital,Inventory,85982,85982,106075,130967,186973
Northern Light C.A. Dean Hospital,Other Current Assets,2248,13303,4855,22582,41822
Northern Light C.A. Dean Hospital,Total Non-Current Assets,5325922,5631392,8535721,21123002,30281732
Northern Light C.A. Dean Hospital,Trustee Held Investments,,,,,
Northern Light C.A. Dean Hospital,Board Designated & Undesignated Investments,378090,416849,463976,2136883,2180636
Northern Light C.A. Dean Hospital,Due from Affiliates,,,,,
Northern Light C.A. Dean Hospital,Investment in Affiliates,,,,,
Northern Light C.A. Dean Hospital,Other Non-Current Assets,12552,12552,12552,12552,12552
Northern Light C.A. Dean Hospital,"Gross Property, Plant and Equipment (PP&E)",12249477,12948317,16218784,27548667,36689462
Northern Light C.A. Dean Hospital,Accumulated Deprecation,7314197,7746326,8159591,8575100,8600918
Northern Light C.A. Dean Hospital,"Net Property, Plant and Equipment (PP&E)",4935280,5201991,8059193,18973567,28088544
Northern Light C.A. Dean Hospital,Total Unrestricted Assets,21732997,22196834,24486992,40574119,42038952
Northern Light C.A. Dean Hospital,Total Current Liabilities,6502580,5063448,5092461,7501430,7459431
Northern Light C.A. Dean Hospital,Current Long Term Debt (LTD),52798,20736,24320,299921,316167
Northern Light C.A. Dean Hospital,Accounts Payable Plus Accrued Expenses,4167344,1663165,1903732,5301506,3862269
Northern Light C.A. Dean Hospital,Estimated Third Party Settlements,168371,22543,194912,823411,1431585
Northern Light C.A. Dean Hospital,Due to Affiliates,1135283,399577,1480275,1076592,1841010
Northern Light C.A. Dean Hospital,Other Current Liabilities,978784,2957427,1489222,,8400
Northern Light C.A. Dean Hospital,Total Non-Current Liabilities,9405538,6109352,7548663,20865779,20073106
Northern Light C.A. Dean Hospital,Long Term Debt (LTD),3565137,3539046,3507638,17917586,17623309
Northern Light C.A. Dean Hospital,Estimated Third Party Settlements,,,,,
Northern Light C.A. Dean Hospital,Northern,,,,,
Northern Light C.A. Dean Hospital,Due to Affiliate,,,,,
Northern Light C.A. Dean Hospital,Self Insurance Fund,,,,,
Northern Light C.A. Dean Hospital,Accrued Pension and Post Retiree Health Benefits,2904051,2570306,2654557,2715403,2419534
Northern Light C.A. Dean Hospital,Other Non-Current Liabilities,2936350,,1386468,232790,30263
Northern Light C.A. Dean Hospital,Fund Balance Unrestricted,5824879,11024034,11845868,12206910,14506415
Northern Light C.A. Dean Hospital,Total Liabilities and Equity,21732997,22196834,24486992,40574119,42038952
Northern Light C.A. Dean Hospital,Total Restricted Assets,1059737,2278905,8098937,6838132,3427397
Northern Light C.A. Dean Hospital,Cash and Investments,1059737,2278905,8098937,6838132,3427397
Northern Light C.A. Dean Hospital,Receivables,,,,,
Northern Light C.A. Dean Hospital,Other Assets,,,,,
Northern Light C.A. Dean Hospital,Total Restricted Liabilities and Equity,1059737,2278905,8098937,6838132,3427397
Northern Light C.A. Dean Hospital,Total Restricted Fund Balance,1059737,2278905,8098937,6838132,3427397
Northern Light C.A. Dean Hospital,Total Liabilities,,,,,
Northern Light C.A. Dean Hospital,Temporarily Restricted Net Assets,699254,1918422,7738354,6477199,3065714
Northern Light C.A. Dean Hospital,Permanently Restricted Net Assets,360483,360483,360583,360933,361683
Northern Light C.A. Dean Hospital,Total Gross Patient Service Revenue,21542946,26004609,27380271,30103490,36026003
Northern Light C.A. Dean Hospital,Gross Inpatient Service Revenue,3748215,4236422,4215595,4459116,4650762
Northern Light C.A. Dean Hospital,Gross Outpatient Service Revenue,17794731,21768187,23164676,25644374,31375241
Northern Light C.A. Dean Hospital,Free Care (Charity Care),138439,232268,66329,40361,46167
Northern Light C.A. Dean Hospital,Bad Debt (Provision for Bad Debt),899467,794111,550055,1155245,1804119
Northern Light C.A. Dean Hospital,Contractuals,3394289,5158378,5311177,9084909,12903534
Northern Light C.A. Dean Hospital,Changes in Prior Year Estimated/Final Settlements,67611,-190249,1159387,766015,-65625
Northern Light C.A. Dean Hospital,Net Patient Service Revenue,17043140,20010101,20293323,19056960,21337808
Northern Light C.A. Dean Hospital,Other Operating Revenue,2924939,4944911,2064356,3799266,1387431
Northern Light C.A. Dean Hospital,Total Operating Revenue,19968079,24955012,22357679,22856226,22725239
Northern Light C.A. Dean Hospital,Total Operating Expenses,18707768,20312697,21616511,22476688,24084185
Northern Light C.A. Dean Hospital,Deprecation and Amoritization,533561,528422,503563,466191,1349847
Northern Light C.A. Dean Hospital,Interest,146009,144133,143163,162560,275941
Northern Light C.A. Dean Hospital,Advertising Expenses,59755,63509,99544,78346,31882
Northern Light C.A. Dean Hospital,Allowed Advertising Expenses,,,,,
Northern Light C.A. Dean Hospital,Northern,,,,,
Northern Light C.A. Dean Hospital,Non-Allowed Advertising Expenses,59755,63509,99544,78346,31882
Northern Light C.A. Dean Hospital,Salaries and Benefits,12052173,12469711,13125367,13822927,13945705
Northern Light C.A. Dean Hospital,Other Operating Expenses,5916270,7106922,7744874,7946664,8480810
Northern Light C.A. Dean Hospital,Net Operating Income,1260311,4642315,741168,379538,-1358946
Northern Light C.A. Dean Hospital,Total Non-Operating Revenue,-11910,-2916,-1226,-139797,4838
Northern Light C.A. Dean Hospital,Total Investment Income,-11910,-2916,-1226,-139797,18147
Northern Light C.A. Dean Hospital,Interest and Dividends,1102,68,933,12365,18147
Northern Light C.A. Dean Hospital,Realized Gains/Losses on Sales of Securities,-13012,-2984,-2159,-152162,
Northern Light C.A. Dean Hospital,Permanently Impaired Security Write Downs,,,,,
Northern Light C.A. Dean Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Northern Light C.A. Dean Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Northern Light C.A. Dean Hospital,"Other Non Operating Revenues (Gifts, Bequests,",,,,,-13309
Northern Light C.A. Dean Hospital,Excess of Revenue Over Expenses,1248401,4639399,739942,239741,-1354108
Northern Light C.A. Dean Hospital,Extraordinary Gains/Losses,,,,,
Northern Light C.A. Dean Hospital,Total Surplus/Deficit,1248401,4639399,739942,239741,-1354108
Northern Light C.A. Dean Hospital,Total Change in Unrestricted Net Assets,831427,5199155,821834,361043,2299505
Northern Light C.A. Dean Hospital,Net Assets Released for Restrictions - Capital,60000,368632,,13500,3658536
Northern Light C.A. Dean Hospital,Unrealized Gains/Losses on Investments,,,,,
Northern Light C.A. Dean Hospital,Minimum Pension Liability Adjustment,-477329,186511,85623,101255,-38662
Northern Light C.A. Dean Hospital,Transfers from/To Affiliates,,,,-1574371,
Northern Light C.A. Dean Hospital,Mergers,,,,,
Northern Light C.A. Dean Hospital,Consolidations with Support Organizations,,,,,
Northern Light C.A. Dean Hospital,Other Changes,355,4613,-3731,1580918,33739
Northern Light Eastern Maine Medical Center,Northern,,,,,
Northern Light Eastern Maine Medical Center,Total Current Assets,450093390,456915682,384055401,445452026,446944306
Northern Light Eastern Maine Medical Center,Cash and Investments,258298964,197172291,169720310,188467189,203364808
Northern Light Eastern Maine Medical Center,Current Assets Whose Use is Limited,4046274,3923841,3614602,3474692,3525544
Northern Light Eastern Maine Medical Center,Net Patient Accounts Receivable,120331092,144817954,134853709,145761212,142830180
Northern Light Eastern Maine Medical Center,Due From Affiliates,968126,32778967,4377692,3508848,5370258
Northern Light Eastern Maine Medical Center,Third Party Settlements,47839214,60687712,57361813,90360030,77490147
Northern Light Eastern Maine Medical Center,Other Accounts Receivable,11165038,11409194,5968785,5139885,5532026
Northern Light Eastern Maine Medical Center,Inventory,4438316,3938541,4555009,4991545,5334104
Northern Light Eastern Maine Medical Center,Other Current Assets,3006366,2187182,3603481,3748625,3497239
Northern Light Eastern Maine Medical Center,Total Non-Current Assets,501679167,480973769,460255905,425256085,415948958
Northern Light Eastern Maine Medical Center,Trustee Held Investments,16304003,675740,674877,674877,289844
Northern Light Eastern Maine Medical Center,Board Designated & Undesignated Investments,58161413,63519622,55467430,36174599,43217364
Northern Light Eastern Maine Medical Center,Due from Affiliates,,,,,
Northern Light Eastern Maine Medical Center,Investment in Affiliates,,,,,
Northern Light Eastern Maine Medical Center,Other Non-Current Assets,7126658,14069738,14851824,13107947,13556524
Northern Light Eastern Maine Medical Center,"Gross Property, Plant and Equipment (PP&E)",841595137,850874719,863998249,876330452,886838650
Northern Light Eastern Maine Medical Center,Accumulated Deprecation,421508044,448166050,474736475,501031790,527953424
Northern Light Eastern Maine Medical Center,"Net Property, Plant and Equipment (PP&E)",420087093,402708669,389261774,375298662,358885226
Northern Light Eastern Maine Medical Center,Total Unrestricted Assets,951772557,937889451,844311306,870708111,862893264
Northern Light Eastern Maine Medical Center,Total Current Liabilities,154092176,166983420,156215109,165367058,251889373
Northern Light Eastern Maine Medical Center,Current Long Term Debt (LTD),3259169,6733488,7871380,9558076,10513831
Northern Light Eastern Maine Medical Center,Accounts Payable Plus Accrued Expenses,64430470,74443509,76997677,82050994,87453843
Northern Light Eastern Maine Medical Center,Estimated Third Party Settlements,5170296,6925289,9724209,13370092,14123092
Northern Light Eastern Maine Medical Center,Due to Affiliates,55931777,2141754,29757058,52687389,72221386
Northern Light Eastern Maine Medical Center,Other Current Liabilities,25300464,76739380,31864785,7700507,67577221
Northern Light Eastern Maine Medical Center,Total Non-Current Liabilities,566746461,459701488,430240452,424066394,422006487
Northern Light Eastern Maine Medical Center,Long Term Debt (LTD),335359031,317450865,312780424,308260221,301392140
Northern Light Eastern Maine Medical Center,Estimated Third Party Settlements,,,,,
Northern Light Eastern Maine Medical Center,Northern Light,,,,,
Northern Light Eastern Maine Medical Center,Due to Affiliate,,,,,
Northern Light Eastern Maine Medical Center,Self Insurance Fund,,,,,
Northern Light Eastern Maine Medical Center,Accrued Pension and Post Retiree Health Benefits,159089121,132984563,107208583,106787255,112731768
Northern Light Eastern Maine Medical Center,Other Non-Current Liabilities,72298309,9266060,10251445,9018918,7882579
Northern Light Eastern Maine Medical Center,Fund Balance Unrestricted,230933920,311204543,257855745,281274659,188997404
Northern Light Eastern Maine Medical Center,Total Liabilities and Equity,951772557,937889451,844311306,870708111,862893264
Northern Light Eastern Maine Medical Center,Total Restricted Assets,38033020,40854715,33471452,33884073,38165408
Northern Light Eastern Maine Medical Center,Cash and Investments,38033020,40854715,33471452,33884073,38165408
Northern Light Eastern Maine Medical Center,Receivables,,,,,
Northern Light Eastern Maine Medical Center,Other Assets,,,,,
Northern Light Eastern Maine Medical Center,Total Restricted Liabilities and Equity,38033020,40854715,33471452,33884073,38165408
Northern Light Eastern Maine Medical Center,Total Restricted Fund Balance,38033020,40854715,33471452,33884073,38165408
Northern Light Eastern Maine Medical Center,Total Liabilities,,,,,
Northern Light Eastern Maine Medical Center,Temporarily Restricted Net Assets,25032642,27413566,20586418,20740005,24526022
Northern Light Eastern Maine Medical Center,Permanently Restricted Net Assets,13000378,13441149,12885034,13144068,13639386
Northern Light Eastern Maine Medical Center,Total Gross Patient Service Revenue,2122595312,2396486709,2485370203,2612112643,2997228946
Northern Light Eastern Maine Medical Center,Gross Inpatient Service Revenue,1103524805,1185586766,1179340388,1217559763,1442434029
Northern Light Eastern Maine Medical Center,Gross Outpatient Service Revenue,1019070507,1210899943,1306029815,1394552880,1554794917
Northern Light Eastern Maine Medical Center,Free Care (Charity Care),9337284,5831875,6883671,5362556,4123032
Northern Light Eastern Maine Medical Center,Bad Debt (Provision for Bad Debt),43206478,51359016,15671005,38263001,23521308
Northern Light Eastern Maine Medical Center,Contractuals,1267270510,1445293287,1598507494,1674485349,2047643305
Northern Light Eastern Maine Medical Center,Changes in Prior Year Estimated/Final Settlements,-935907,370497,-5858710,-31625057,2005879
Northern Light Eastern Maine Medical Center,Net Patient Service Revenue,803716947,893632034,870166743,925626794,919935422
Northern Light Eastern Maine Medical Center,Other Operating Revenue,97593882,149087554,114429245,144721077,103052671
Northern Light Eastern Maine Medical Center,Total Operating Revenue,901310829,1042719588,984595988,1070347871,1022988093
Northern Light Eastern Maine Medical Center,Total Operating Expenses,937403075,988877249,1063461929,1051035659,1109045373
Northern Light Eastern Maine Medical Center,Deprecation and Amoritization,29519749,28765107,28989866,29014622,29243095
Northern Light Eastern Maine Medical Center,Interest,14494282,13060858,11860315,12192551,11999203
Northern Light Eastern Maine Medical Center,Advertising Expenses,1531858,1515855,1293080,1551648,284355
Northern Light Eastern Maine Medical Center,Allowed Advertising Expenses,,,,,
Northern Light Eastern Maine Medical Center,Northern Light,,,,,
Northern Light Eastern Maine Medical Center,Non-Allowed Advertising Expenses,1531858,1515855,1293080,1551648,284355
Northern Light Eastern Maine Medical Center,Salaries and Benefits,434915354,448936489,446757036,446766037,465014165
Northern Light Eastern Maine Medical Center,Other Operating Expenses,456941832,496598940,574561632,561510801,602504555
Northern Light Eastern Maine Medical Center,Net Operating Income,-36092246,53842339,-78865941,19312212,-86057280
Northern Light Eastern Maine Medical Center,Total Non-Operating Revenue,1318412,184926,-1537109,-4806634,-1627370
Northern Light Eastern Maine Medical Center,Total Investment Income,871063,496155,382372,1896626,-310695
Northern Light Eastern Maine Medical Center,Interest and Dividends,661672,515766,376690,417180,74338
Northern Light Eastern Maine Medical Center,Realized Gains/Losses on Sales of Securities,209391,-19611,5682,1479446,-385033
Northern Light Eastern Maine Medical Center,Permanently Impaired Security Write Downs,,,,,
Northern Light Eastern Maine Medical Center,Gains/Losses on Joint Ventures/Equity Investments,900376,916023,286716,-110556,216808
Northern Light Eastern Maine Medical Center,Permanently Impaired Writedowns of Other Assets,,,,,
Northern Light Eastern Maine Medical Center,"Other Non Operating Revenues (Gifts, Bequests,",-453027,-1227252,-2206197,-6592704,-1533483
Northern Light Eastern Maine Medical Center,Excess of Revenue Over Expenses,-34773834,54027265,-80403050,14505578,-87684650
Northern Light Eastern Maine Medical Center,Extraordinary Gains/Losses,,,,,
Northern Light Eastern Maine Medical Center,Total Surplus/Deficit,-34773834,54027265,-80403050,14505578,-87684650
Northern Light Eastern Maine Medical Center,Total Change in Unrestricted Net Assets,-51159005,80270623,-53348799,23418913,-92277255
Northern Light Eastern Maine Medical Center,Net Assets Released for Restrictions - Capital,5533233,2720203,4213856,675550,2681657
Northern Light Eastern Maine Medical Center,Unrealized Gains/Losses on Investments,,,,,
Northern Light Eastern Maine Medical Center,Minimum Pension Liability Adjustment,-21966554,23468828,22674625,8182931,-7364295
Northern Light Eastern Maine Medical Center,Transfers from/To Affiliates,,,,-525216,
Northern Light Eastern Maine Medical Center,Mergers,,,,,
Northern Light Eastern Maine Medical Center,Consolidations with Support Organizations,,,,,
Northern Light Eastern Maine Medical Center,Other Changes,48150,54327,165770,580070,90033
Northern Light Inland Hospital,Total Current Assets,13222407,12947778,-1254138,-365997,-10552016
Northern Light Inland Hospital,Cash and Investments,-936794,-4456963,-20919999,-22020030,-31781695
Northern Light Inland Hospital,Current Assets Whose Use is Limited,141382,95294,100717,98045,90105
Northern Light Inland Hospital,Net Patient Accounts Receivable,7551676,9493884,10001892,11933249,12566308
Northern Light Inland Hospital,Due From Affiliates,43416,672943,117586,135411,90748
Northern Light Inland Hospital,Third Party Settlements,4791280,5646981,7629986,7766152,6826249
Northern Light Inland Hospital,Other Accounts Receivable,830092,711368,937458,907287,308289
Northern Light Inland Hospital,Inventory,648527,661239,693296,584597,1054953
Northern Light Inland Hospital,Other Current Assets,152828,123032,184926,229292,293027
Northern Light Inland Hospital,Total Non-Current Assets,18684415,20951389,21036248,20883448,24397387
Northern Light Inland Hospital,Trustee Held Investments,,,,,
Northern Light Inland Hospital,Board Designated & Undesignated Investments,4544964,4986857,4550052,4808158,5723176
Northern Light Inland Hospital,Due from Affiliates,,,,,
Northern Light Inland Hospital,Investment in Affiliates,,,,,
Northern Light Inland Hospital,Other Non-Current Assets,45795,1726061,1072495,1032801,723483
Northern Light Inland Hospital,"Gross Property, Plant and Equipment (PP&E)",47398085,49068552,51903626,53165015,57921126
Northern Light Inland Hospital,Accumulated Deprecation,33304429,34830081,36489925,38122526,39970398
Northern Light Inland Hospital,"Net Property, Plant and Equipment (PP&E)",14093656,14238471,15413701,15042489,17950728
Northern Light Inland Hospital,Total Unrestricted Assets,31906822,33899167,19782110,20517451,13845371
Northern Light Inland Hospital,Total Current Liabilities,14623192,16484320,11257961,14569481,18249757
Northern Light Inland Hospital,Current Long Term Debt (LTD),227306,267014,546576,518829,882994
Northern Light Inland Hospital,Accounts Payable Plus Accrued Expenses,8806200,6837737,7037967,7544643,8613132
Northern Light Inland Hospital,Estimated Third Party Settlements,958586,1306166,1168727,1085477,1957139
Northern Light Inland Hospital,Due to Affiliates,3202857,3110355,735305,5049344,5786910
Northern Light Inland Hospital,Other Current Liabilities,1428243,4963048,1769386,371188,1009582
Northern Light Inland Hospital,Total Non-Current Liabilities,18775325,16081518,15311451,15248784,17307351
Northern Light Inland Hospital,Long Term Debt (LTD),10120705,9841065,10036613,9873322,11464894
Northern Light Inland Hospital,Estimated Third Party Settlements,,,,,
Northern Light Inland Hospital,Due to Affiliate,,,,,
Northern Light Inland Hospital,Self Insurance Fund,,,,,
Northern Light Inland Hospital,Accrued Pension and Post Retiree Health Benefits,4125887,4566634,4069525,4313491,5148869
Northern Light Inland Hospital,Other Non-Current Liabilities,4528733,1673819,1205313,1061971,693588
Northern Light Inland Hospital,Fund Balance Unrestricted,-1491695,1333329,-6787302,-9300814,-21711737
Northern Light Inland Hospital,Total Liabilities and Equity,31906822,33899167,19782110,20517451,13845371
Northern Light Inland Hospital,Total Restricted Assets,3310931,3494350,2933070,3015139,3519707
Northern Light Inland Hospital,Cash and Investments,3310931,3494350,2933070,3015139,3519707
Northern Light Inland Hospital,Receivables,,,,,
Northern Light Inland Hospital,Other Assets,,,,,
Northern Light Inland Hospital,Total Restricted Liabilities and Equity,3310931,3494350,2933070,3015140,3519707
Northern Light Inland Hospital,Total Restricted Fund Balance,3310931,3494350,2933070,3015140,3519707
Northern Light Inland Hospital,Total Liabilities,,,,,
